uniprot_acc	pathway_id	pathway_name
Q9UER7	hsa04010	MAPK signaling pathway
P24522	hsa04010	MAPK signaling pathway
A5JUZ3	hsa04010	MAPK signaling pathway
P35638	hsa04010	MAPK signaling pathway
P28562	hsa04010	MAPK signaling pathway
Q05923	hsa04010	MAPK signaling pathway
P51452	hsa04010	MAPK signaling pathway
Q13115	hsa04010	MAPK signaling pathway
Q16690	hsa04010	MAPK signaling pathway
Q16828	hsa04010	MAPK signaling pathway
Q16829	hsa04010	MAPK signaling pathway
Q13202	hsa04010	MAPK signaling pathway
Q99956	hsa04010	MAPK signaling pathway
P20827	hsa04010	MAPK signaling pathway
O43921	hsa04010	MAPK signaling pathway
P52797	hsa04010	MAPK signaling pathway
P52798	hsa04010	MAPK signaling pathway
P52803	hsa04010	MAPK signaling pathway
D6RDV5	hsa04010	MAPK signaling pathway
P01133	hsa04010	MAPK signaling pathway
P00533	hsa04010	MAPK signaling pathway
E9PFD7	hsa04010	MAPK signaling pathway
Q504U8	hsa04010	MAPK signaling pathway
P29317	hsa04010	MAPK signaling pathway
P19419	hsa04010	MAPK signaling pathway
P28324	hsa04010	MAPK signaling pathway
P04626	hsa04010	MAPK signaling pathway
J3QLU9	hsa04010	MAPK signaling pathway
F5H1T4	hsa04010	MAPK signaling pathway
P21860	hsa04010	MAPK signaling pathway
Q15303	hsa04010	MAPK signaling pathway
O14944	hsa04010	MAPK signaling pathway
P31749	hsa04010	MAPK signaling pathway
P31751	hsa04010	MAPK signaling pathway
Q03112	hsa04010	MAPK signaling pathway
A0A0C3SFZ7	hsa04010	MAPK signaling pathway
P05230	hsa04010	MAPK signaling pathway
P09038	hsa04010	MAPK signaling pathway
P11487	hsa04010	MAPK signaling pathway
P08620	hsa04010	MAPK signaling pathway
P12034	hsa04010	MAPK signaling pathway
P10767	hsa04010	MAPK signaling pathway
P21781	hsa04010	MAPK signaling pathway
P55075	hsa04010	MAPK signaling pathway
A0A087X1S5	hsa04010	MAPK signaling pathway
P31371	hsa04010	MAPK signaling pathway
O15520	hsa04010	MAPK signaling pathway
P11362	hsa04010	MAPK signaling pathway
A0A3B3ISD1	hsa04010	MAPK signaling pathway
