uniprot_acc	pathway_id	pathway_name
P11021	hsa03060	Protein export
Q15070	hsa03060	Protein export
J3KNA0	hsa03060	Protein export
Q9H9S3	hsa03060	Protein export
Q8TC24	hsa03060	Protein export
Q9Y5M8	hsa03060	Protein export
P61009	hsa03060	Protein export
P49458	hsa03060	Protein export
P37108	hsa03060	Protein export
P09132	hsa03060	Protein export
A0A087WYR0	hsa03060	Protein export
A0A2U3TZN1	hsa03060	Protein export
P61011	hsa03060	Protein export
G3V480	hsa03060	Protein export
Q9UHB9	hsa03060	Protein export
O76094	hsa03060	Protein export
P08240	hsa03060	Protein export
Q99442	hsa03060	Protein export
Q96T52	hsa03060	Protein export
Q9BY50	hsa03060	Protein export
K7EJQ7	hsa03060	Protein export
Q15005	hsa03060	Protein export
Q8WUM4	hsa03250	Viral life cycle - HIV-1
P31941	hsa03250	Viral life cycle - HIV-1
P50750	hsa03250	Viral life cycle - HIV-1
Q13530	hsa03250	Viral life cycle - HIV-1
Q16630	hsa03250	Viral life cycle - HIV-1
O75475	hsa03250	Viral life cycle - HIV-1
P51681	hsa03250	Viral life cycle - HIV-1
Q9H444	hsa03250	Viral life cycle - HIV-1
Q92793	hsa03250	Viral life cycle - HIV-1
Q6NTF7	hsa03250	Viral life cycle - HIV-1
P31941	hsa03250	Viral life cycle - HIV-1
Q8IUX4	hsa03250	Viral life cycle - HIV-1
Q09472	hsa03250	Viral life cycle - HIV-1
O00472	hsa03250	Viral life cycle - HIV-1
Q8TD16	hsa03250	Viral life cycle - HIV-1
Q9Y5L0	hsa03250	Viral life cycle - HIV-1
Q86VE9	hsa03250	Viral life cycle - HIV-1
Q8WX92	hsa03250	Viral life cycle - HIV-1
Q9Y3Z3	hsa03250	Viral life cycle - HIV-1
Q92830	hsa03250	Viral life cycle - HIV-1
Q9UHB7	hsa03250	Viral life cycle - HIV-1
Q9UN37	hsa03250	Viral life cycle - HIV-1
Q9NRW3	hsa03250	Viral life cycle - HIV-1
Q9BY43	hsa03250	Viral life cycle - HIV-1
P78559	hsa03250	Viral life cycle - HIV-1
P46821	hsa03250	Viral life cycle - HIV-1
Q03111	hsa03250	Viral life cycle - HIV-1
P42568	hsa03250	Viral life cycle - HIV-1
P20591	hsa03250	Viral life cycle - HIV-1
H9KVC7	hsa03250	Viral life cycle - HIV-1
P20592	hsa03250	Viral life cycle - HIV-1
P09958	hsa03250	Viral life cycle - HIV-1
Q8IXH7	hsa03250	Viral life cycle - HIV-1
H0UI80	hsa03250	Viral life cycle - HIV-1
Q13526	hsa03250	Viral life cycle - HIV-1
P62937	hsa03250	Viral life cycle - HIV-1
Q66K74	hsa03250	Viral life cycle - HIV-1
P62826	hsa03250	Viral life cycle - HIV-1
B4DV51	hsa03250	Viral life cycle - HIV-1
P49792	hsa03250	Viral life cycle - HIV-1
Q9HC16	hsa03250	Viral life cycle - HIV-1
Q96G01	hsa03250	Viral life cycle - HIV-1
Q12824	hsa03250	Viral life cycle - HIV-1
G5E975	hsa03250	Viral life cycle - HIV-1
P63272	hsa03250	Viral life cycle - HIV-1
O00267	hsa03250	Viral life cycle - HIV-1
Q10589	hsa03250	Viral life cycle - HIV-1
Q99816	hsa03250	Viral life cycle - HIV-1
Q9H3P2	hsa03250	Viral life cycle - HIV-1
A0A0C4DFX9	hsa03250	Viral life cycle - HIV-1
O14980	hsa03250	Viral life cycle - HIV-1
A0A7I2V2Y6	hsa03250	Viral life cycle - HIV-1
A0A7I2V6B9	hsa03250	Viral life cycle - HIV-1
A0A7I2V461	hsa03250	Viral life cycle - HIV-1
P61073	hsa03250	Viral life cycle - HIV-1
P18615	hsa03250	Viral life cycle - HIV-1
Q96FZ7	hsa03250	Viral life cycle - HIV-1
Q8N684	hsa03250	Viral life cycle - HIV-1
Q9HB65	hsa03250	Viral life cycle - HIV-1
P55199	hsa03250	Viral life cycle - HIV-1
U3KQ90	hsa03250	Viral life cycle - HIV-1
Q9C035	hsa03250	Viral life cycle - HIV-1
A0A804HHS7	hsa03250	Viral life cycle - HIV-1
Q92831	hsa03250	Viral life cycle - HIV-1
O60563	hsa03250	Viral life cycle - HIV-1
O60583	hsa03250	Viral life cycle - HIV-1
O14964	hsa03250	Viral life cycle - HIV-1
P01730	hsa03250	Viral life cycle - HIV-1
O75351	hsa03250	Viral life cycle - HIV-1
Q9UH17	hsa03250	Viral life cycle - HIV-1
Q99689	hsa03250	Viral life cycle - HIV-1
P49790	hsa03250	Viral life cycle - HIV-1
Q13133	hsa03320	PPAR signaling pathway
B4DXU5	hsa03320	PPAR signaling pathway
B5MBY7	hsa03320	PPAR signaling pathway
Q9BX66	hsa03320	PPAR signaling pathway
Q16798	hsa03320	PPAR signaling pathway
Q6TCH8	hsa03320	PPAR signaling pathway
Q9Y2P5	hsa03320	PPAR signaling pathway
Q6P1M0	hsa03320	PPAR signaling pathway
O14975	hsa03320	PPAR signaling pathway
Q6Q788	hsa03320	PPAR signaling pathway
Q99541	hsa03320	PPAR signaling pathway
Q8TCG5	hsa03320	PPAR signaling pathway
P50416	hsa03320	PPAR signaling pathway
Q92523	hsa03320	PPAR signaling pathway
P23786	hsa03320	PPAR signaling pathway
A0A1B0GTB8	hsa03320	PPAR signaling pathway
P22680	hsa03320	PPAR signaling pathway
Q9UNU6	hsa03320	PPAR signaling pathway
Q02318	hsa03320	PPAR signaling pathway
P07108	hsa03320	PPAR signaling pathway
B8ZWD1	hsa03320	PPAR signaling pathway
Q08426	hsa03320	PPAR signaling pathway
P15090	hsa03320	PPAR signaling pathway
P07148	hsa03320	PPAR signaling pathway
P12104	hsa03320	PPAR signaling pathway
P05413	hsa03320	PPAR signaling pathway
Q01469	hsa03320	PPAR signaling pathway
P51161	hsa03320	PPAR signaling pathway
O15540	hsa03320	PPAR signaling pathway
P33121	hsa03320	PPAR signaling pathway
B7Z3Z9	hsa03320	PPAR signaling pathway
E7EPM6	hsa03320	PPAR signaling pathway
O95573	hsa03320	PPAR signaling pathway
O60488	hsa03320	PPAR signaling pathway
Q96GR2	hsa03320	PPAR signaling pathway
Q9UKU0	hsa03320	PPAR signaling pathway
P32189	hsa03320	PPAR signaling pathway
Q14410	hsa03320	PPAR signaling pathway
Q9Y2P4	hsa03320	PPAR signaling pathway
P09110	hsa03320	PPAR signaling pathway
Q01581	hsa03320	PPAR signaling pathway
P54868	hsa03320	PPAR signaling pathway
P28330	hsa03320	PPAR signaling pathway
P02647	hsa03320	PPAR signaling pathway
P02652	hsa03320	PPAR signaling pathway
P11310	hsa03320	PPAR signaling pathway
Q5T4U5	hsa03320	PPAR signaling pathway
P02656	hsa03320	PPAR signaling pathway
Q13418	hsa03320	PPAR signaling pathway
O14520	hsa03320	PPAR signaling pathway
Q5T5M1	hsa03320	PPAR signaling pathway
B7Z4U2	hsa03320	PPAR signaling pathway
