Q9Y446
Q9UPN4
P22570
P06732
Q9BQL6
Q96MC5
P78417
P51648
P02751
Q8IXZ2
P04040
H0Y5B0
P13987
Q9Y3P4
Q96S44
Q9NR23
Q8IYM9
O00592
O43236
P30533
Q96FZ7
Q8IWW6
P52292
O60502
Q9BS40
Q86X02
P13929
Q9UKA9
O43766
Q15027
Q08345
P42226
P46940
Q9UHN1
P38432
Q96QD9
Q96CX2
O60271
P49427
Q13614
Q76L83
Q8N3C0
Q684P5
Q66K14
Q15814
Q53EL6
Q9NX62
Q93034
Q96RS6
Q96SQ9
Q9H305
Q9Y3E5
P29992
Q9UPQ7
Q6ZU80
P05455
P30260
Q07352
Q14258
Q12830
P29590
Q9H9P8
Q99523
Q96DG6
P56747
Q9NX05
Q9UHR5
Q8NE00
Q2VPK5
P48681
Q9Y3C4
P80303
Q9Y4G6
Q9HD15
O14745
P84157
Q9GZT8
Q14558
Q07817
P24928
P46977
P08727
P46926
O75084
Q9NX65
Q6PK04
P52565
Q9UBX3
Q9UHA2
P29762
Q8NFP9
Q9BVS5
Q13164
P31641
P14209
Q6IMN6
Q96SI1
Q96EK5
Q9GZS3
O14802
Q92544
P11137
P06744
Q5SW96
P35237
Q92905
Q8WVL7
Q8WZ74
Q13228
P17152
Q6GYQ0
P39656
P49768
Q9UQL6
P27824
Q8WY54
Q9H467
Q99969
O75037
O43324
Q9NZ52
P04818
Q69YN2
P06280
P83916
P62244
Q5TC12
Q13492
Q9H7E2
Q86UV5
Q9P275
Q9HCJ6
P09234
O00408
Q9Y3Y2
Q8IY81
Q08380
Q93009
Q96JJ6
O15047
Q9H0Z9
Q9BVQ7
Q14168
Q9Y580
P49354
F5H552
Q676U5
Q5J8M3
P35268
Q12996
Q9HBG4
P61962
Q9ULC3
Q9Y230
P48509
Q8TC07
P18615
P13674
P40123
Q6ZU65
Q6FI81
Q9Y4X5
Q96SB3
Q96QT6
P20936
P32969
P11441
O15111
Q5T6P1
Q5ZPR3
P40227
Q00534
O95340
A3KMH1
Q7KZF4
Q9BV40
P06737
P28070
Q9HC36
Q12872
P30740
Q96J01
Q9Y2T7
Q9UDT6
Q9Y2S7
Q6UXD5
Q6UB99
P19623
Q8ND30
P48739
P36957
Q9BPZ3
P68543
P30046
Q9UN81
Q9H2G4
Q03154
Q99808
Q6NZY4
Q9H993
Q9H0K6
P68400
P61313
O95999
Q13162
P62314
Q96AG4
P55201
Q96HP0
P23229
Q96JG6
Q15223
Q86VN1
P58005
Q9H3H3
P05023
Q8N5S9
Q96FJ2
Q9BW66
Q86X55
Q6NWY9
P49757
Q9UQB8
Q6P1Q9
Q9P2D0
P62888
P25685
P09455
P27448
Q15361
Q2TAP0
