uniprot_acc	kmodes	majority
Q8NFP9	11	11
Q8TAA5	9	9
Q8TAT6	2	2
Q8TC07	6	6
Q8TD10	6	6
Q8TD16	3	11
Q8TDR0	6	6
Q8TEA1	5	5
Q8TEM1	5	5
Q8TF46	6	6
Q8WUM4	2	2
Q8WVM0	9	9
Q8WX93	2	2
Q8WXW3	3	3
Q8WZA0	3	3
Q92485	12	8
Q92599	9	9
Q92667	1	1
Q92905	6	6
Q969T9	2	2
Q969Z3	5	5
Q96AB3	5	5
Q96AC1	10	10
Q96B26	9	9
Q96C01	9	9
Q96CN9	1	1
Q96CU9	2	2
Q96E11	9	9
Q96EP5	7	7
Q96ER3	3	12
Q96EV8	10	10
Q96F63	3	3
Q96GC5	4	5
Q96HY7	8	8
Q96I15	2	2
Q96I99	5	5
Q96JJ3	3	11
Q96JM3	9	9
Q96KP4	12	8
Q96PV7	4	5
Q96Q11	2	2
Q96QD9	7	7
Q96S19	4	5
Q96S44	2	2
Q96SB3	11	11
Q96SI1	7	7
Q96SQ9	11	1
Q96TC7	3	3
Q99487	8	8
Q99523	1	1
Q99547	12	9
Q99569	6	6
Q99829	8	8
Q99943	9	9
Q99963	6	6
Q99969	11	11
Q9BPZ3	3	10
Q9BQC3	9	9
Q9BQL6	2	2
Q9BRK0	5	5
Q9BRL6	9	9
Q9BRR6	9	9
Q9BRT2	12	8
Q9BRZ2	6	6
Q9BSD7	2	2
Q9BSV6	10	10
Q9BT23	11	11
Q9BT73	10	10
Q9BTC8	7	7
Q9BUH6	8	8
Q9BV20	3	3
Q9BVJ7	5	5
Q9BW04	12	9
Q9BW83	12	5
Q9BWH6	3	2
Q9BWS9	5	5
Q9BY49	9	9
Q9BYN0	3	3
Q9BYV8	6	6
Q9BZV1	4	5
Q9BZX2	3	3
Q9GZP4	8	8
Q9H074	10	3
Q9H078	5	5
Q9H0A8	2	2
Q9H0E9	4	5
Q9H0W5	9	9
Q9H0W9	2	2
Q9H299	10	10
Q9H2D6	4	5
Q9H2G4	11	11
Q9H2H8	6	6
Q9H2J4	10	10
Q9H2W6	4	5
Q9H3G5	9	9
Q9H3P7	2	2
Q9H3U1	1	1
Q9H5V8	9	9
Q9H611	3	3
Q9H9A6	6	6
Q9H9P8	7	7
Q9HAB8	2	2
Q9HCC0	12	8
Q9HCN4	3	3
Q9HCS7	4	5
Q9HD15	8	8
Q9NPD3	4	5
Q9NPD8	2	2
Q9NPR2	5	5
Q9NQT4	9	9
Q9NQT5	4	9
Q9NR23	7	7
Q9NRL2	5	5
Q9NRZ5	5	5
Q9NUG6	10	10
Q9NUW8	3	3
Q9NVI7	12	9
Q9NWS0	3	3
Q9NX05	9	9
Q9NX62	6	6
Q9NX74	2	2
Q9NXR5	3	3
Q9NXW2	9	9
Q9NYF8	4	5
Q9NYU1	2	2
Q9NYZ3	10	10
Q9NZ52	2	2
Q9NZI7	4	5
Q9NZJ4	1	1
Q9NZW5	4	5
Q9P0U3	9	9
Q9P287	2	2
Q9P2D1	5	5
Q9P2K5	9	9
Q9UBC2	2	2
Q9UBV2	10	10
Q9UDT6	11	11
Q9UFC0	2	2
Q9UGK3	2	2
Q9UHD8	1	1
Q9UHK0	3	3
Q9UHN1	1	1
Q9UHR5	1	1
Q9UHV9	3	3
Q9UIJ7	9	9
Q9UIW2	5	5
Q9UK22	2	2
Q9UK76	3	3
Q9UKA9	6	6
Q9UKD2	6	6
Q9UKE5	5	5
Q9ULU4	4	5
Q9UN81	9	9
Q9UNY4	12	8
Q9UPN4	1	1
Q9UQ35	7	7
Q9UQB8	11	11
Q9Y266	3	3
Q9Y277	5	5
Q9Y281	3	2
Q9Y2C3	5	5
Q9Y2H0	10	10
Q9Y2S7	6	6
Q9Y2T7	7	7
Q9Y2Z0	10	10
Q9Y3B2	9	9
Q9Y3B7	5	5
Q9Y3D8	3	3
Q9Y3E5	11	11
Q9Y3P4	6	6
Q9Y3U8	4	5
Q9Y3Y2	6	6
Q9Y446	7	7
Q9Y4L1	8	8
Q9Y4X5	11	11
Q9Y512	5	5
Q9Y530	6	6
Q9Y5J6	5	5
Q9Y5S2	1	10
Q9Y5X1	6	6
Q9Y666	9	9
Q9Y6K9	2	2
V9GYT7	4	5
