first_uniprot_acc
O14745
O43236
O60271
P22570
P52292
Q14258
Q86X02
Q8IY81
Q8N3C0
Q8TAT6
Q9NZ52
Q9UPN4
O00418
O60502
P49354
Q53EL6
Q5SW96
Q8TC07
Q9Y3P4
