uniprot_acc	gene_id
Q5SRE7	hsa:254295
O15031	hsa:23654
Q8TC59	hsa:55124
Q9ULL4	hsa:5365
Q7Z3Z3	hsa:440822
Q7Z3Z4	hsa:143689
O60240	hsa:5346
O60486	hsa:10154
Q92561	hsa:9796
Q99541	hsa:123
Q8NG27	hsa:64219
Q9Y4D7	hsa:23129
O43164	hsa:9867
O60664	hsa:10226
Q96Q06	NA
Q0ZLH3	hsa:494513
Q00G26	hsa:440503
Q9NWT1	hsa:55003
Q8TDX9	hsa:168507
Q7Z442	hsa:114780
Q7Z443	hsa:342372
P53350	hsa:5347
O43692	hsa:51050
Q6UXB8	hsa:221476
Q9NYY3	hsa:10769
P43119	hsa:5739
Q99570	hsa:30849
Q8WYR1	hsa:23533
Q8NEB9	hsa:5289
Q5UE93	hsa:146850
P48426	hsa:5305
O00444	hsa:10733
P42336	hsa:5290
P78356	hsa:8396
Q96NK8	hsa:63974
Q5T2W1	hsa:5174
Q8WTT2	hsa:64318
Q496M5	hsa:126520
P42338	hsa:5291
Q8TBX8	hsa:79837
Q9Y342	hsa:51090
O43678	hsa:4695
O00483	hsa:4697
Q9ULU4	hsa:23613
Q16718	hsa:4698
P08473	hsa:4311
Q92786	hsa:5629
Q9UM63	hsa:5325
Q5K4E3	hsa:146547
Q9UKY0	hsa:23627
Q86WR7	hsa:254427
Q9BQR3	hsa:83886
O95428	hsa:89932
Q6ZRP0	hsa:389152
Q14914	hsa:22949
O15067	hsa:5198
Q13308	hsa:5754
O00231	hsa:5717
P28065	hsa:5698
Q96QB1	hsa:10395
A6NLU0	hsa:342931
P0C7M4	hsa:727940
Q4ADV7	hsa:57589
P10745	hsa:5949
O75570	hsa:9617
Q8NC24	hsa:285613
Q9GZR2	hsa:57109
Q92963	hsa:6016
Q3KNW1	hsa:333929
P62244	hsa:6210
Q5JNZ5	NA
P41440	hsa:6573
Q9Y2C5	hsa:10050
O95136	hsa:9294
Q5BJH2	hsa:85013
A7XYQ1	hsa:55084
Q13425	hsa:6645
Q86V20	hsa:54537
Q969G3	hsa:6605
P02788	hsa:4057
O60902	hsa:6474
O75159	hsa:9655
O43508	hsa:407977
O43508	hsa:8742
Q9NWH2	hsa:729515
Q5VVB8	hsa:253582
Q9BVK8	hsa:10430
Q8N4B1	hsa:144717
P50454	hsa:871
O15047	hsa:9739
O94964	hsa:140710
O43166	hsa:26037
O95347	hsa:10592
Q92186	hsa:8128
P02549	hsa:6708
Q8WWL2	hsa:84501
Q96FJ0	hsa:57559
Q9UGK3	hsa:55620
Q9UIV8	hsa:5275
Q9BWV2	hsa:83890
Q9BUA3	hsa:144097
Q9C0K7	hsa:55437
A6NGW2	NA
Q9Y6A9	hsa:28972
Q9UPE1	hsa:26576
Q8TDD2	hsa:121340
Q8IX01	hsa:10147
B3KS81	hsa:100170229
P10124	hsa:5552
Q9UGK8	hsa:26297
Q5VTQ0	hsa:158219
Q7Z6B7	hsa:57522
Q14714	hsa:8082
P62079	hsa:10098
P30874	hsa:6752
P08842	hsa:412
P46977	hsa:3703
Q86XZ4	hsa:65244
P43308	hsa:6746
Q658P3	hsa:55240
Q99909	hsa:10214
P0CL84	NA
Q9NRP7	hsa:27148
P16949	hsa:3925
Q86TL2	hsa:375346
Q6UWL2	hsa:64420
Q9Y2K6	hsa:10868
O75795	hsa:7367
Q5ST30	hsa:57176
P19320	hsa:7412
P15313	hsa:525
P21281	hsa:526
Q9H320	hsa:26609
P37288	hsa:552
Q9H322	hsa:51480
Q9H321	hsa:425054
Q9NNX9	hsa:51481
O14598	hsa:353513
O14598	hsa:9084
O14599	hsa:442867
O14599	hsa:442868
O14599	hsa:9083
P47901	hsa:553
P21796	hsa:7416
P45880	hsa:7417
Q2YD98	hsa:57654
Q68CQ4	hsa:27042
Q9Y277	hsa:7419
P30518	hsa:554
Q969X6	hsa:84916
P21283	hsa:528
Q8NEY4	hsa:245973
Q9NYH9	hsa:55813
Q8NBZ7	hsa:80146
P61421	hsa:9114
Q8N8Y2	hsa:245972
Q765I0	hsa:257313
P11473	hsa:7421
P46939	hsa:7402
O95399	hsa:10911
O14607	hsa:7404
P07911	hsa:7369
Q9Y5K8	hsa:51382
Q9P2Y5	hsa:7405
Q9BTM9	hsa:81605
P36543	hsa:529
Q96A05	hsa:90423
P00749	hsa:5328
Q9UBK9	hsa:8409
Q5DID0	hsa:89766
Q16864	hsa:9296
Q9P0L0	hsa:9218
Q86UX7	hsa:83706
O75348	hsa:9550
O95670	hsa:534
O95292	hsa:9217
Q96LB4	hsa:127124
Q9UI12	hsa:51606
Q5W0Q7	hsa:10208
Q52LC2	NA
Q15904	hsa:537
Q9Y2C2	hsa:10090
Q7L8A9	hsa:22846
O60291	hsa:23295
Q9BTT4	hsa:84246
O43513	hsa:9443
A8MW99	hsa:101928601
O75095	hsa:1953
Q9UL63	hsa:4289
Q96G30	hsa:112609
Q2M3A8	NA
Q9H488	hsa:23509
Q14168	hsa:4355
Q96T58	hsa:23013
Q9H2W2	hsa:83881
Q96ER9	hsa:79714
Q8TD10	hsa:145282
Q8IVT2	hsa:126353
Q99102	hsa:4585
Q9Y216	hsa:9108
Q9NYA4	hsa:9110
Q9NXD2	hsa:54893
Q68CQ1	hsa:374977
P49959	hsa:4361
Q96AQ6	hsa:57326
Q8N565	hsa:55686
Q9Y3B8	hsa:25996
Q6P444	hsa:113115
Q9UI43	hsa:29960
Q02962	hsa:5076
Q9Y623	hsa:4622
P20929	hsa:4703
Q16621	hsa:4778
Q9Y5A7	hsa:51667
Q14249	hsa:2021
Q86UY8	hsa:51559
Q12980	hsa:8131
Q5VT03	NA
P0C025	hsa:200035
P51513	hsa:4857
Q6S8J3	hsa:445582
O96001	hsa:10842
A5A3E0	hsa:728378
Q9ULR3	hsa:57460
Q7Z3G6	hsa:166336
Q6S5H5	hsa:404785
Q6S545	hsa:23784
Q6NYC8	hsa:170954
Q99457	hsa:4675
Q9NZP6	hsa:23742
Q86U38	hsa:161424
Q99742	hsa:4861
Q9HDB5	hsa:9369
P29475	hsa:4842
E5RHQ5	NA
Q92617	NA
Q8NGP4	hsa:219482
Q8NGY3	hsa:391114
O95007	hsa:135946
Q99466	hsa:4855
O15243	hsa:54741
P29803	hsa:5161
Q6ZMI0	hsa:129285
Q9UHM6	hsa:94233
Q6IFN5	hsa:26648
Q6IF36	NA
Q8NGI2	hsa:390072
Q8NGX5	hsa:391109
O15294	hsa:8473
P0DN82	NA
Q9UKS6	hsa:29763
P40424	hsa:5087
Q9ULW8	hsa:51702
Q8IVL5	hsa:55214
Q96KW2	hsa:94026
Q8N7R1	hsa:285877
P09131	hsa:8273
Q8IVL6	hsa:10536
Q8IXS6	hsa:445815
O15460	hsa:8974
Q7Z4N8	hsa:283208
P23760	hsa:5077
A8MW92	hsa:51105
Q8N3R9	hsa:64398
P0CB38	NA
O43422	hsa:5612
Q6NUJ5	hsa:170394
Q15070	hsa:5018
P35558	hsa:5105
Q9Y5G4	hsa:56107
Q99489	hsa:8528
Q9Y5F8	hsa:56099
Q9Y5G2	hsa:56103
Q96RQ9	hsa:259307
Q9UNK4	hsa:26279
O00264	hsa:10857
P22079	hsa:4025
P05164	hsa:4353
Q9UN70	hsa:5098
Q9BWF3	hsa:5936
P61106	hsa:51552
P52756	hsa:10181
P59190	hsa:376267
Q9H0T7	hsa:64284
P78332	hsa:10180
P21810	hsa:633
Q9Y580	hsa:10179
Q9NP72	hsa:22931
A4D1S5	hsa:401409
Q9Y5S9	hsa:9939
P29558	hsa:5937
P62820	hsa:5861
Q15434	hsa:5939
Q6XE24	hsa:27303
Q9Y388	hsa:51634
Q9H0U4	hsa:81876
Q92928	NA
Q9NX57	hsa:55647
Q9H1K0	hsa:64145
Q70E73	hsa:65059
Q9UL25	hsa:23011
Q13702	hsa:5913
Q9ULC3	hsa:51715
P61574	NA
Q7Z4M0	hsa:283677
Q969Q5	hsa:53917
P57735	hsa:57111
P61576	NA
P51157	hsa:9364
P61578	NA
P61572	NA
P61571	NA
P61019	hsa:5862
Q6VN20	hsa:57610
O95072	hsa:9985
Q15771	hsa:27314
Q9H2T7	hsa:64901
Q13636	hsa:11031
P61573	NA
B7ZAP0	hsa:9910
P23219	hsa:5742
Q15311	hsa:10928
Q9BZG1	hsa:83871
Q7Z419	hsa:255488
Q16654	hsa:5166
Q8N0T1	hsa:401466
P20337	hsa:5865
Q92930	hsa:51762
Q96E17	hsa:115827
O95716	hsa:9545
C9J798	NA
Q5JT25	hsa:347517
Q93062	hsa:11030
Q8N4Z0	hsa:115273
Q9HBH5	hsa:57665
P20936	hsa:5921
Q86YS6	hsa:339122
O75452	hsa:8608
Q7Z6P3	hsa:401258
Q15283	hsa:5922
Q6ZRY4	hsa:348093
Q15276	hsa:9135
P20338	hsa:5867
Q14644	hsa:22821
Q9H5N1	hsa:79874
P61018	hsa:53916
Q9Y272	hsa:51655
Q7Z6M1	hsa:10244
Q8IZ41	hsa:158158
P20339	hsa:5868
Q92781	hsa:5959
Q7Z444	hsa:3266
Q9NS23	hsa:11186
Q9NYR8	hsa:50700
P61020	hsa:5869
Q8N3Y7	hsa:195814
P50749	hsa:9770
Q5HYI8	hsa:285282
Q86WH2	hsa:283349
P51148	hsa:5878
Q9H2L5	hsa:83937
Q3YEC7	hsa:55684
P20340	hsa:5870
Q8WWW0	hsa:83593
Q6ZTQ3	hsa:166824
P29762	hsa:1381
Q9NRW1	hsa:51560
Q02833	hsa:8045
Q9H0N0	hsa:84084
Q8NHQ8	hsa:11228
Q53S08	hsa:150786
O75901	hsa:9182
P29373	hsa:1382
Q8NG50	hsa:201299
A6NK89	hsa:644943
P51149	hsa:7879
Q9UJ41	hsa:27342
Q96AH8	hsa:338382
P01112	hsa:3265
P25791	hsa:4005
P01116	hsa:3845
P62877	hsa:9978
O95294	hsa:8437
P63000	hsa:5879
O43374	hsa:10156
Q9UBF6	hsa:9616
P0DJD3	hsa:5940
Q86YV0	hsa:64926
A6NDE4	hsa:378948
P0DJD4	NA
P0C7P1	hsa:378949
Q9NYN1	hsa:51285
A6NEQ0	hsa:378950
Q15415	hsa:159163
Q15415	hsa:378951
O14807	hsa:22808
P15153	hsa:5880
P06400	hsa:5925
P01111	hsa:4893
P60763	hsa:5881
Q01851	hsa:5457
Q7Z5A4	NA
A4D1T9	hsa:136242
P43686	hsa:5704
A8MZF0	NA
Q9UKA9	hsa:58155
P86496	hsa:122183
P86496	hsa:729233
P86496	hsa:729240
P86496	hsa:729246
P86496	hsa:729250
P25105	hsa:5724
P38159	hsa:27316
Q69383	NA
Q96NR8	hsa:145226
P51151	hsa:9367
Q96QF0	hsa:117177
Q9UBG7	hsa:11317
Q8NBN7	hsa:112724
Q7Z7A4	hsa:54899
Q9UNT1	hsa:11158
Q6ZP01	hsa:375316
Q8TCX5	hsa:114822
Q9NSD7	hsa:51289
P35244	hsa:6119
Q9GZM3	hsa:246721
Q9GZM3	hsa:548644
O75916	hsa:8787
Q9H1A7	NA
F8VTS6	hsa:729974
Q8NHV9	hsa:158800
Q8WVD5	hsa:50862
Q96MT1	hsa:153830
P24928	hsa:5430
P19474	hsa:6737
Q9NTX7	hsa:81847
P10155	hsa:6738
Q9H310	hsa:57127
P09651	hsa:3178
Q96D71	hsa:85021
A6NKT7	hsa:653489
P02753	hsa:5950
Q96L21	hsa:140801
Q13671	hsa:9610
P27635	hsa:6134
P18077	hsa:6165
O43567	hsa:11342
Q7L0R7	hsa:22838
Q9H0F5	hsa:152006
Q7Z7F7	hsa:128308
Q96LD8	hsa:123228
Q92766	hsa:6239
P04844	hsa:6185
P62854	hsa:6231
Q15527	hsa:6835
Q8WXH0	hsa:23224
Q9Y6J9	hsa:10629
Q6ZMZ3	hsa:161176
Q8N205	hsa:163183
O15061	hsa:23336
P49848	hsa:6878
Q9H7V2	hsa:79953
O43426	hsa:8867
P54136	hsa:5917
Q5H9L4	hsa:54457
O15056	hsa:8871
Q96I59	hsa:79731
Q15545	hsa:6879
Q5T160	hsa:57038
Q7Z7C8	hsa:129685
Q9HBM6	hsa:51616
Q6XYQ8	hsa:341359
Q16594	hsa:6880
Q9BT88	hsa:23208
Q7Z5A9	hsa:407738
Q8IV01	hsa:91683
Q8N3H0	hsa:338811
Q7L8C5	hsa:57586
Q7Z5A8	hsa:284467
Q96LR4	hsa:151647
Q8NB59	hsa:255928
Q9BQS2	hsa:83849
Q7Z5A7	hsa:25817
Q17RD7	NA
Q9BSW7	hsa:51760
P21579	hsa:6857
Q8N103	hsa:117289
Q8N9I0	hsa:127833
Q9BQG1	hsa:84258
Q9H2B2	hsa:6860
O00445	hsa:6861
Q5T7P8	hsa:148281
P54577	hsa:8565
O43581	hsa:9066
P37802	hsa:8407
Q8NBV8	hsa:90019
Q9Y2Z4	hsa:51067
Q86SS6	hsa:143425
Q9NYW5	hsa:50832
A2RTX5	hsa:123283
Q9NYW4	hsa:54429
Q9NYW3	hsa:50837
P26639	hsa:6897
Q9NYW2	hsa:50836
Q9NYW1	hsa:50835
P21731	hsa:6915
Q8IYJ3	hsa:84958
Q9HCH5	hsa:54843
Q9Y3F1	NA
Q4VX76	hsa:94120
Q96C24	hsa:94121
Q8TDW5	hsa:94122
Q9BW92	hsa:80222
Q9H987	hsa:79933
Q96RJ0	hsa:134864
Q9P1P5	hsa:9287
P48775	hsa:6999
Q9P1P4	NA
O14804	hsa:9038
Q96RI8	hsa:319100
Q969N4	hsa:83551
Q96RI9	hsa:134860
P08247	hsa:6855
Q15750	hsa:10454
Q16563	hsa:6856
Q5VXT5	hsa:284612
Q5JRV8	hsa:55026
Q9NYJ8	hsa:23118
Q7L3T8	hsa:25973
Q8WV15	hsa:348013
Q8N5C8	hsa:257397
Q8N9U0	hsa:123036
P52657	hsa:2958
Q9BXJ8	hsa:83862
O75410	hsa:6867
Q9UI15	hsa:29114
O95359	hsa:10579
Q71SY5	hsa:81857
Q16674	hsa:8190
Q75NE6	NA
P53778	hsa:6300
P04731	hsa:4489
Q9UKN1	hsa:10071
Q9Y217	hsa:9107
Q9C0I1	hsa:54545
P42898	hsa:4524
O95255	hsa:368
Q9BT17	hsa:92170
Q99551	hsa:7978
Q15746	hsa:4638
P05976	hsa:4632
O95178	hsa:4708
P01185	hsa:551
A6NCS4	hsa:137814
Q5QGS0	hsa:340533
P40205	NA
Q8NFF2	hsa:123041
Q9H093	hsa:81788
Q8NGS8	hsa:138799
Q9GZU5	hsa:60506
Q9NRJ5	hsa:56903
O00623	hsa:5193
Q96FX8	hsa:64065
Q9UKI9	hsa:25833
Q9H3S5	hsa:93183
Q8WVV4	hsa:79983
Q15319	hsa:5459
O95427	hsa:23556
A5PKW4	hsa:5662
P18031	hsa:5770
P10586	hsa:5792
P61586	hsa:387
Q02094	hsa:6005
P0C7P2	NA
Q52LW3	hsa:9411
Q6P4F7	hsa:9824
P84095	hsa:391
Q9UJD0	hsa:9783
O14730	hsa:8780
P40429	hsa:23521
Q9Y6S9	hsa:83694
Q9NVC3	hsa:55238
Q99624	hsa:10991
O94885	hsa:23328
Q6UVJ0	hsa:163786
Q9NP94	hsa:29986
O00767	hsa:6319
Q8IX30	hsa:222663
Q96FV2	hsa:90507
Q8WTV0	hsa:949
Q8N5S1	hsa:284427
Q92503	hsa:6397
Q5K4L6	hsa:11000
Q8TE54	hsa:115111
Q8TBE7	hsa:80723
P35542	hsa:6291
Q96ER3	hsa:113174
Q9Y289	hsa:8884
Q8N3G9	hsa:222865
Q9BVV7	hsa:29090
C9JQI7	hsa:642987
Q9Y5X2	hsa:29886
Q8NDV3	hsa:27127
Q8WYJ6	hsa:1731
Q15465	hsa:6469
Q14141	hsa:23157
P51532	hsa:6597
Q9NSN8	hsa:54212
Q9NRX5	hsa:57515
A0MZ66	hsa:57698
Q5VXU9	NA
Q8TEV9	hsa:140775
Q9NQF3	NA
Q8NBT3	hsa:284339
P35713	hsa:54345
P62318	hsa:6634
O94993	hsa:11063
P0CF51	NA
Q9HC62	hsa:59343
Q9UPS6	NA
Q9UPR3	hsa:23381
Q8TEQ0	hsa:92017
Q8N614	hsa:80008
P0C7T8	hsa:643382
Q99747	hsa:8774
O15466	hsa:29906
Q9C0A6	hsa:55209
O75094	hsa:6586
Q2NKQ1	hsa:129049
P84022	hsa:4088
Q9Y6H5	hsa:9627
Q9BRG2	hsa:10045
P0DP57	hsa:432355
Q6UW10	hsa:389376
O95562	hsa:375035
Q9H9B4	hsa:94081
Q5PRF9	hsa:55095
P60896	hsa:7979
Q9NZC9	hsa:50485
Q12824	hsa:6598
Q8TD22	hsa:94097
Q6P4A7	hsa:119559
Q9H3S1	hsa:64218
Q9H5K3	hsa:84197
Q9BQI6	hsa:84250
Q9C0C4	hsa:54910
Q9UJC5	hsa:83699
A8K8P3	hsa:9814
O95754	hsa:10505
O43761	hsa:9143
Q96HL8	hsa:26751
Q8NFY4	hsa:80031
Q9Y566	hsa:50944
Q96PX8	hsa:114798
P04278	hsa:6462
Q8ND04	hsa:55181
Q92922	hsa:6599
Q9H0W8	hsa:56006
Q9BTD1	NA
Q92529	hsa:53358
Q96QR1	hsa:92304
Q9NYZ4	hsa:27181
Q13309	hsa:6502
Q8N816	NA
Q9Y336	hsa:27180
Q92765	hsa:2487
Q92925	hsa:6603
Q96LD4	hsa:91107
Q9NQ34	hsa:56674
Q8IWZ4	hsa:79097
O94876	hsa:23023
P0CI25	hsa:57093
Q6Q0C0	hsa:84231
O75069	hsa:9911
Q9UJW2	hsa:27283
Q9ULS5	hsa:57458
Q86XT4	hsa:135892
Q9GZM7	hsa:64129
Q9BSJ1	hsa:84767
A0A2R8Y7D0	NA
Q96A61	hsa:84851
Q9UM00	hsa:54499
Q9BWF2	hsa:10293
Q9BYV2	hsa:57159
Q7Z6W1	hsa:127391
Q9BSI4	hsa:26277
Q6UWJ1	hsa:55002
Q9BYV6	hsa:84675
Q5TGY1	hsa:255104
Q9UPV9	hsa:22906
Q96DC7	hsa:55374
Q9BRZ2	hsa:81844
O60296	hsa:66008
Q8NG06	hsa:25893
P0DPE3	NA
Q13445	hsa:11018
Q8IWR1	hsa:286827
Q15629	hsa:23471
P40238	hsa:4352
P40225	hsa:7066
Q15035	hsa:9697
Q15363	hsa:10959
Q9Y3Q3	hsa:23423
Q7Z7H5	hsa:222068
O14773	hsa:1200
Q12931	hsa:10131
P28289	hsa:7111
Q495X7	hsa:166655
Q9Y3A6	hsa:50999
Q9NZR1	hsa:29767
Q5EBN2	hsa:391712
Q9BVG3	hsa:55223
Q8WW62	hsa:146456
Q9NYL9	hsa:29766
Q9Y3B3	hsa:100302736
Q9Y3B3	hsa:51014
Q969Q1	hsa:84676
Q6PL24	hsa:283578
Q9NZQ9	hsa:29765
P29144	hsa:7174
Q96A98	hsa:113091
Q9BVK6	hsa:54732
A6NGJ6	hsa:120146
Q6PJ69	hsa:201292
P0DTU3	NA
O15016	hsa:9866
Q6ZTA4	hsa:440730
Q9Y5R8	hsa:58485
Q6PIZ9	hsa:50852
Q6AZZ1	hsa:55128
Q6ZT21	hsa:643853
Q86WT6	hsa:140691
O15393	hsa:7113
P49755	hsa:10972
O43617	hsa:27095
Q9BVW5	hsa:54962
Q6ZMU5	hsa:493829
P57727	hsa:64699
Q9Y296	hsa:51399
Q9NRS4	hsa:56649
Q86UV7	hsa:375593
Q8TB96	hsa:81533
Q9P0T7	hsa:252839
Q7RTY8	hsa:344805
P82094	hsa:7110
Q7Z410	hsa:360200
Q96RU8	hsa:10221
Q86WS5	hsa:283471
O14668	hsa:5638
Q9BYE2	hsa:84000
Q92519	hsa:28951
O14669	hsa:5639
Q9BZD7	hsa:79057
Q9BZD6	hsa:79056
Q8NEW7	hsa:259236
Q96RU7	hsa:57761
Q6UXZ0	hsa:388364
Q5SRD1	hsa:100652748
Q96BF3	hsa:126259
P0DMS9	hsa:57413
Q7L0X0	hsa:9865
P31483	hsa:7072
P58753	hsa:114609
O95411	hsa:9220
Q8IUR5	hsa:83857
Q9NVH6	hsa:55217
Q13009	hsa:7074
Q9UJV3	hsa:11043
Q8N394	hsa:160335
Q8IVF5	hsa:26230
Q9BRJ7	hsa:84309
P17152	hsa:8834
Q9C040	hsa:23321
Q01085	hsa:7073
Q6ZXV5	hsa:160418
Q86X19	hsa:200728
Q5T4D3	hsa:84899
O75382	hsa:10612
Q9BVT8	hsa:83590
Q9C037	hsa:89122
Q71RG4	hsa:79089
Q07352	hsa:677
Q86V40	hsa:129293
Q08629	hsa:6695
Q9C035	hsa:85363
Q92563	hsa:9806
A6NFA1	hsa:388630
