Chip Run Info,G:\Lab 5 Image Data\Project and data\hIPSC\Differentiation\DE Diff\RT_and_qPCR\BioMark\UQ hepatocyte BioMark\1362419391_23-10-19_hepatocyte\ChipRun.bml,1362419391,96.96 (136x),GE 96x96 Standard v1,ROX,EvaGreen,23/10/2019 3:40:17 PM,01:53:50,BIOMARKHD173,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.5.2
Application Build,20180628.1231
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S96-A40,MB3 day2 A (C9)*,Unknown,1,Hhex,Test,16.8327329823673,1,Pass,0.0128092640861449,80.1524216861601,999,1
S96-A41,MB3 day2 A (C9)*,Unknown,1,Lgr5,Test,22.6418427794276,1,Pass,0.0128092640861449,78.9699929472317,999,1
S96-A42,MB3 day2 A (C9)*,Unknown,1,CYP3A7,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A43,MB3 day2 A (C9)*,Unknown,1,CYP1A2,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A44,MB3 day2 A (C9)*,Unknown,1,Igf2,Test,23.5255287227686,1,Pass,0.0128092640861449,87.0726992520052,999,1
S96-A45,MB3 day2 A (C9)*,Unknown,1,Myl3,Test,24.1231769067712,1,Pass,0.0128092640861449,76.1815592212038,999,1
S96-A46,MB3 day2 A (C9)*,Unknown,1,Pax6,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A47,MB3 day2 A (C9)*,Unknown,1,L1cam,Test,22.7190840042086,1,Pass,0.0128092640861449,86.3685697044547,999,1
S96-A48,MB3 day2 A (C9)*,Unknown,1,Gapdh,Test,12.8896646840518,1,Pass,0.0128092640861449,83.1341944374259,999,1
S96-A54,MB3 day2 A (C9)*,Unknown,1,CYP3A1,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A53,MB3 day2 A (C9)*,Unknown,1,Dcn,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A52,MB3 day2 A (C9)*,Unknown,1,Pdx1,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A51,MB3 day2 A (C9)*,Unknown,1,Foxa2,Test,20.2798268181997,1,Pass,0.0128092640861449,86.7287727810607,999,1
S96-A50,MB3 day2 A (C9)*,Unknown,1,Wnt3a,Test,23.4596611419169,1,Pass,0.0128092640861449,89.982811878677,999,1
S96-A49,MB3 day2 A (C9)*,Unknown,1,Klf4,Test,22.5814889158128,1,Pass,0.0128092640861449,84.2170531503869,999,1
S96-A60,MB3 day2 A (C9)*,Unknown,1,Actb,Test,11.5702881890819,1,Pass,0.0128092640861449,82.6809568111116,999,1
S96-A59,MB3 day2 A (C9)*,Unknown,1,Sox1,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A58,MB3 day2 A (C9)*,Unknown,1,Vim,Test,13.9661017239994,1,Pass,0.0128092640861449,82.0721917353104,999,1
S96-A57,MB3 day2 A (C9)*,Unknown,1,Myh7,Test,22.0539296008299,1,Pass,0.0128092640861449,86.8381789482228,999,1
S96-A56,MB3 day2 A (C9)*,Unknown,1,Smtn,Test,21.9584909280466,1,Pass,0.0128092640861449,85.9840124938946,999,1
S96-A55,MB3 day2 A (C9)*,Unknown,1,Bmp4,Test,20.7617551899032,1,Pass,0.0128092640861449,80.6646539943636,999,1
S96-A66,MB3 day2 A (C9)*,Unknown,1,CYP2C19,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A65,MB3 day2 A (C9)*,Unknown,1,Fgf8,Test,19.8171448243669,1,Pass,0.0128092640861449,83.2529467438771,999,1
S96-A64,MB3 day2 A (C9)*,Unknown,1,Acvr1b,Test,20.8201816003108,1,Pass,0.0128092640861449,86.9896259840156,999,1
S96-A63,MB3 day2 A (C9)*,Unknown,1,Sox17,Test,16.2529003686673,1,Pass,0.0128092640861449,85.7374209924646,999,1
S96-A62,MB3 day2 A (C9)*,Unknown,1,Nodal,Test,19.1791950257743,1,Pass,0.0128092640861449,84.7012943787953,999,1
S96-A61,MB3 day2 A (C9)*,Unknown,1,Nanog,Test,18.9542901234377,1,Pass,0.0128092640861449,81.0001611991934,999,1
S96-A72,MB3 day2 A (C9)*,Unknown,1,TBP,Test,18.6538378718825,1,Pass,0.0128092640861449,82.1634095404143,999,1
S96-A71,MB3 day2 A (C9)*,Unknown,1,Otx2,Test,14.9646192337868,1,Pass,0.0128092640861449,82.1622948897271,999,1
S96-A70,MB3 day2 A (C9)*,Unknown,1,Pou4f1,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A69,MB3 day2 A (C9)*,Unknown,1,Cd34,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A68,MB3 day2 A (C9)*,Unknown,1,Klf5,Test,19.5944330971956,1,Pass,0.0128092640861449,78.1741273279285,999,1
S96-A67,MB3 day2 A (C9)*,Unknown,1,Ctsk,Test,20.9341471595495,1,Pass,0.0128092640861449,80.4168987608167,999,1
S96-A78,MB3 day2 A (C9)*,Unknown,1,CYP2C9,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A77,MB3 day2 A (C9)*,Unknown,1,Nod2,Test,24.3318684013082,1,Pass,0.0128092640861449,85.2540880045772,999,1
S96-A76,MB3 day2 A (C9)*,Unknown,1,Alb,Test,34.8261621755576,1,Pass,0.0128092640861449,76.2968300317625,999,1
S96-A75,MB3 day2 A (C9)*,Unknown,1,Sox7,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A74,MB3 day2 A (C9)*,Unknown,1,Lhx1,Test,15.4473865045754,1,Pass,0.0128092640861449,81.8746609332204,999,1
S96-A73,MB3 day2 A (C9)*,Unknown,1,Pou5f1,Test,15.9227578214434,1,Pass,0.0128092640861449,84.8871063725115,999,1
S96-A84,MB3 day2 A (C9)*,Unknown,1,Gusb,Test,18.3768610045216,1,Pass,0.0128092640861449,80.8197493980884,999,1
S96-A83,MB3 day2 A (C9)*,Unknown,1,Krt14,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A82,MB3 day2 A (C9)*,Unknown,1,Eno1,Test,15.5390714011939,1,Pass,0.0128092640861449,84.7103900243489,999,1
S96-A81,MB3 day2 A (C9)*,Unknown,1,Ryr2,Test,19.9464457604411,1,Pass,0.0128092640861449,79.4245536655713,999,1
S96-A80,MB3 day2 A (C9)*,Unknown,1,Mesp1,Test,21.6035990418663,0.993820943135284,Pass,0.0128092640861449,84.543560218433,999,1
S96-A79,MB3 day2 A (C9)*,Unknown,1,Gata6,Test,14.9480049909691,1,Pass,0.0128092640861449,79.9237038144574,999,1
S96-A90,MB3 day2 A (C9)*,Unknown,1,CAR,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A89,MB3 day2 A (C9)*,Unknown,1,Cxcr4,Test,16.5045840677543,1,Pass,0.0128092640861449,78.5554449127796,999,1
S96-A88,MB3 day2 A (C9)*,Unknown,1,Hgf,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A87,MB3 day2 A (C9)*,Unknown,1,Krt19,Test,17.7736738612344,1,Pass,0.0128092640861449,84.122292485437,999,1
S96-A86,MB3 day2 A (C9)*,Unknown,1,Eomes,Test,14.4472586362579,1,Pass,0.0128092640861449,77.2029208610733,999,1
S96-A85,MB3 day2 A (C9)*,Unknown,1,Prdm14,Test,20.5561185246795,1,Pass,0.0128092640861449,79.4350050351332,999,1
S96-A96,MB3 day2 A (C9)*,Unknown,1,B2m,Test,16.0215295271484,1,Pass,0.0128092640861449,81.6149702122689,999,1
S96-A95,MB3 day2 A (C9)*,Unknown,1,Grin1,Test,24.7948083094584,1,Pass,0.0128092640861449,82.1998088265183,999,1
S96-A94,MB3 day2 A (C9)*,Unknown,1,Gbx2,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A93,MB3 day2 A (C9)*,Unknown,1,Krt10,Test,15.432184882793,1,Pass,0.0128092640861449,78.3787741756172,999,1
S96-A92,MB3 day2 A (C9)*,Unknown,1,Comp,Test,999,0,Flag,0.0128092640861449,999,999,0
S96-A91,MB3 day2 A (C9)*,Unknown,1,Kdr,Test,20.0667378405217,1,Pass,0.0128092640861449,79.0670645293275,999,1
S06-A01,FA3-1- 18hr Dox D4,Unknown,1,Zic3,Test,14.7219854512116,1,Pass,0.0128092640861449,87.0587444985417,999,1
S06-A02,FA3-1- 18hr Dox D4,Unknown,1,Sox2,Test,15.097031734311,1,Pass,0.0128092640861449,79.4504135350043,999,1
S06-A03,FA3-1- 18hr Dox D4,Unknown,1,Gsc,Test,12.0767804520608,0.98552791555747,Pass,0.0128092640861449,88.6504350893044,999,1
S06-A04,FA3-1- 18hr Dox D4,Unknown,1,AFP,Test,23.0781765161321,1,Pass,0.0128092640861449,87.0502201533077,999,1
S06-A05,FA3-1- 18hr Dox D4,Unknown,1,Gata4,Test,13.8222062884069,1,Pass,0.0128092640861449,90.0610870745365,999,1
S06-A06,FA3-1- 18hr Dox D4,Unknown,1,A1AT,Test,999,0,Flag,0.0128092640861449,999,999,0
S06-A07,FA3-1- 18hr Dox D4,Unknown,1,PXR,Test,21.3040639392404,1,Pass,0.0128092640861449,87.3564204097119,999,1
S06-A08,FA3-1- 18hr Dox D4,Unknown,1,Gata2,Test,37.251662408917,0,Flag,0.0128092640861449,999,999,0
