Chip Run Info,C:\Users\posteil\Desktop\hIPSC project\OMIC\Data\Biomark on cohort\16-8-19 MixL1KO and IO Human cell lineage markers\ChipRun.bml,1362362587,96.96 (136x),GE 96x96 Standard v1,ROX,EvaGreen,16/08/2019 4:08:51 PM,01:53:06,BIOMARKHD173,SamplePlateName: Undefined,SamplePlateBarCode: Undefined,ReagentPlateName: Undefined,ReagentPlateBarCode: Undefined
Application Version,4.5.2
Application Build,20180628.1231
Export Type,Table Results
Quality Threshold,0.65
Baseline Correction Method,Linear (Derivative)
Ct Threshold Method,Auto (Global)


Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,Experiment Information,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen,EvaGreen
Chamber,Sample,Sample,Sample,EvaGreen,EvaGreen,Ct,Ct,Ct,Ct,Tm,Tm,Tm
ID,Name,Type,rConc,Name,Type,Value,Quality,Call,Threshold,In Range,Out Range,Peak Ratio
S96-A52,H20,Unknown,1,Hhex,Test,19.0475850652223,0.3802794900651,Flag,0.0137889310993103,79.6940858982714,999,1
S96-A51,H20,Unknown,1,Foxa2,Test,19.0817381023537,0,Flag,0.0137889310993103,999,999,0
S96-A50,H20,Unknown,1,Wnt3a,Test,18.8586144582722,0,Flag,0.0137889310993103,999,999,0
S96-A49,H20,Unknown,1,Klf4,Test,17.0839366822458,0,Flag,0.0137889310993103,999,999,0
S96-A60,H20,Unknown,1,Gusb,Test,15.5724889645432,0.641039016870798,Flag,0.0137889310993103,80.2585507126462,999,1
S96-A59,H20,Unknown,1,Sox1,Test,16.9181760737662,0.472026637367356,Flag,0.0137889310993103,80.8343792742554,999,1
S96-A58,H20,Unknown,1,Vim,Test,15.9934778071506,0.598241983253935,Flag,0.0137889310993103,81.2503015186054,999,1
S96-A57,H20,Unknown,1,Fabp7,Test,17.6901438016674,0.54197655026442,Flag,0.0137889310993103,78.6673155333882,999,1
S96-A56,H20,Unknown,1,Myh7,Test,18.3598972079714,0,Flag,0.0137889310993103,999,999,0
S96-A55,H20,Unknown,1,Igf2,Test,15.855402234055,0.476588154334103,Flag,0.0137889310993103,79.0893826608429,999,1
S96-A66,H20,Unknown,1,Ctsk,Test,17.402871324363,0.542243699288781,Flag,0.0137889310993103,79.6998866125072,999,1
S96-A65,H20,Unknown,1,Apoh,Test,17.5964560511792,0,Flag,0.0137889310993103,999,999,0
S96-A64,H20,Unknown,1,Ins,Test,16.9127386754852,0,Flag,0.0137889310993103,999,999,0
S96-A63,H20,Unknown,1,Sox17,Test,15.4515271744438,0,Flag,0.0137889310993103,999,999,0
S96-A62,H20,Unknown,1,Nodal,Test,15.298210518133,0,Flag,0.0137889310993103,999,999,0
S96-A61,H20,Unknown,1,Nanog,Test,16.7355272679501,0.507278625493417,Flag,0.0137889310993103,79.7459752777683,999,1
S96-A72,H20,Unknown,1,B2m,Test,14.9389820934363,0.600654268173159,Flag,0.0137889310993103,80.0042516972607,999,1
S96-A71,H20,Unknown,1,Otx2,Test,14.5468098826082,0.611407645247962,Flag,0.0137889310993103,80.3250619818956,999,1
S96-A70,H20,Unknown,1,Pou4f1,Test,17.0872862967659,0,Flag,0.0137889310993103,999,999,0
S96-A69,H20,Unknown,1,Dcx,Test,18.0850363232497,0.405893276522589,Flag,0.0137889310993103,79.06959293765,999,1
S96-A68,H20,Unknown,1,Cd34,Test,18.3293006597274,0,Flag,0.0137889310993103,999,999,0
S96-A67,H20,Unknown,1,Smtn,Test,16.2748452009052,0.509891634608713,Flag,0.0137889310993103,79.4458976077639,999,1
S96-A78,H20,Unknown,1,Gata6,Test,15.6052786376604,0.467248147220604,Flag,0.0137889310993103,79.5749923676243,999,1
S96-A77,H20,Unknown,1,Alb,Test,17.8540248885407,0.389517764879296,Flag,0.0137889310993103,79.3881823064718,999,1
S96-A76,H20,Unknown,1,Pdx1,Test,16.4447043006037,0,Flag,0.0137889310993103,999,999,0
S96-A75,H20,Unknown,1,Sox7,Test,20.186731901315,0,Flag,0.0137889310993103,999,999,0
S96-A74,H20,Unknown,1,Lhx1,Test,19.3997528858476,0,Flag,0.0137889310993103,999,999,0
S96-A73,H20,Unknown,1,Pou5f1,Test,18.2851436931066,0,Flag,0.0137889310993103,999,999,0
S96-A84,H20,Unknown,1,,Test,21.4202138789047,0,Flag,0.0137889310993103,999,999,0
S96-A83,H20,Unknown,1,Krt14,Test,20.9593779731455,0,Flag,0.0137889310993103,999,999,0
S96-A82,H20,Unknown,1,Eno1,Test,17.8315014428556,0,Flag,0.0137889310993103,999,999,0
S96-A81,H20,Unknown,1,Neurod1,Test,19.198802217476,0.290465075527098,Flag,0.0137889310993103,80.1883107474134,999,1
S96-A80,H20,Unknown,1,Cd79a,Test,17.6314977272082,0,Flag,0.0137889310993103,999,999,0
S96-A79,H20,Unknown,1,Klf5,Test,16.2937142387048,0.365558201629907,Flag,0.0137889310993103,78.1824176991733,999,1
S96-A90,H20,Unknown,1,Kdr,Test,16.7799869992929,0.457194372294121,Flag,0.0137889310993103,78.1212959936286,999,1
S96-A89,H20,Unknown,1,Hgf,Test,16.5808083472359,0.2841650606173,Flag,0.0137889310993103,77.3782261565773,999,1
S96-A88,H20,Unknown,1,Acvr1b,Test,17.6795626400643,0,Flag,0.0137889310993103,999,999,0
S96-A87,H20,Unknown,1,Krt19,Test,16.6119403938484,0,Flag,0.0137889310993103,999,999,0
S96-A86,H20,Unknown,1,Eomes,Test,18.7714579560116,0,Flag,0.0137889310993103,999,999,0
S96-A85,H20,Unknown,1,Prdm14,Test,21.4851990732391,0,Flag,0.0137889310993103,999,999,0
S96-A96,H20,Unknown,1,,Test,999,0,Flag,0.0137889310993103,999,999,0
S96-A95,H20,Unknown,1,Grin1,Test,17.4628699623341,0,Flag,0.0137889310993103,999,999,0
S96-A94,H20,Unknown,1,Gbx2,Test,999,0,Flag,0.0137889310993103,999,999,0
S96-A93,H20,Unknown,1,Nes,Test,20.5584978071307,0,Flag,0.0137889310993103,999,999,0
S96-A92,H20,Unknown,1,Ryr2,Test,20.4026625590267,0,Flag,0.0137889310993103,999,999,0
S96-A91,H20,Unknown,1,Mesp1,Test,21.5979108666314,0,Flag,0.0137889310993103,999,999,0
S06-A01,MB2 IO pool p4,Unknown,1,Zic3,Test,24.9198800307558,0,Flag,0.0137889310993103,999,999,0
S06-A02,MB2 IO pool p4,Unknown,1,Sox2,Test,18.0614767364023,0,Flag,0.0137889310993103,999,999,0
S06-A03,MB2 IO pool p4,Unknown,1,Gsc,Test,31.655423447231,0.776048680014282,Pass,0.0137889310993103,77.7752749115915,999,1
S06-A04,MB2 IO pool p4,Unknown,1,AFP,Test,16.7117063203713,0.778153438184725,Pass,0.0137889310993103,86.0704976823195,999,1
S06-A05,MB2 IO pool p4,Unknown,1,Gata4,Test,35.5188799484336,0,Flag,0.0137889310993103,999,999,0
S06-A06,MB2 IO pool p4,Unknown,1,Fgf8,Test,21.2640729686901,0.722597756134364,Pass,0.0137889310993103,81.9802362924945,999,1
S06-A07,MB2 IO pool p4,Unknown,1,Gata2,Test,21.9574894135643,0.836376370766818,Pass,0.0137889310993103,80.7286117101974,999,1
S06-A08,MB2 IO pool p4,Unknown,1,Nkx2-5,Test,25.439167527186,0.61476405661371,Flag,0.0137889310993103,86.0733994389425,999,1
S06-A09,MB2 IO pool p4,Unknown,1,Comp,Test,23.8347299143269,0,Flag,0.0137889310993103,999,999,0
S06-A10,MB2 IO pool p4,Unknown,1,Olig2,Test,25.064317525374,0.896598058311631,Pass,0.0137889310993103,77.980888415651,999,1
S06-A11,MB2 IO pool p4,Unknown,1,Gfap,Test,27.7755048702823,0.736983806095912,Pass,0.0137889310993103,74.7671310366194,999,1
S06-A12,MB2 IO pool p4,Unknown,1,TH,Test,21.6314877944283,0.785839433423984,Pass,0.0137889310993103,86.1818554308623,999,1
S06-A13,MB2 IO pool p4,Unknown,1,Dppa4,Test,23.0043898842189,0,Flag,0.0137889310993103,999,999,0
S06-A14,MB2 IO pool p4,Unknown,1,Zfp42,Test,17.3958795867259,0.861401501868282,Pass,0.0137889310993103,75.3548454683593,999,1
S06-A15,MB2 IO pool p4,Unknown,1,Tdgf1,Test,18.8073265421166,0.811212486779537,Pass,0.0137889310993103,85.020083290989,999,1
S06-A16,MB2 IO pool p4,Unknown,1,Cdx2,Test,15.1780928522248,0.757243520190655,Pass,0.0137889310993103,83.918277189168,999,1
S06-A17,MB2 IO pool p4,Unknown,1,Pecam1,Test,19.6107707992207,0,Flag,0.0137889310993103,999,999,0
S06-A18,MB2 IO pool p4,Unknown,1,Nod2,Test,22.7730918936532,0.795250329843783,Pass,0.0137889310993103,83.9777451284301,999,1
S06-A19,MB2 IO pool p4,Unknown,1,Hand1,Test,27.8144056929698,0.878584659567389,Pass,0.0137889310993103,77.9125870877672,999,1
S06-A20,MB2 IO pool p4,Unknown,1,Pdgfra,Test,16.7182840909446,0.925548543309219,Pass,0.0137889310993103,79.149526298905,999,1
S06-A21,MB2 IO pool p4,Unknown,1,Ccr5,Test,36.1723834047024,0.880575975088925,Pass,0.0137889310993103,75.5018951091582,999,1
S06-A22,MB2 IO pool p4,Unknown,1,Chat,Test,999,0,Flag,0.0137889310993103,999,999,0
S06-A23,MB2 IO pool p4,Unknown,1,Tubb3,Test,16.3712076931654,0.782465998561888,Pass,0.0137889310993103,88.5602409228085,999,1
S06-A24,MB2 IO pool p4,Unknown,1,Gapdh,Test,10.532294277064,0.846511649777385,Pass,0.0137889310993103,81.8901953930809,999,1
S06-A25,MB2 IO pool p4,Unknown,1,Fgf5,Test,19.1588610929171,0.660688511064256,Pass,0.0137889310993103,73.0157384548042,999,1
S06-A26,MB2 IO pool p4,Unknown,1,T,Test,21.1513630699248,0.903944205696407,Pass,0.0137889310993103,77.0647402784321,999,1
S06-A27,MB2 IO pool p4,Unknown,1,Axin2,Test,14.4095172268841,0.806157873483561,Pass,0.0137889310993103,82.2538682432223,999,1
S06-A28,MB2 IO pool p4,Unknown,1,Gcg,Test,999,0,Flag,0.0137889310993103,999,999,0
S06-A29,MB2 IO pool p4,Unknown,1,Hnf4a,Test,15.867661461609,0.917528614161379,Pass,0.0137889310993103,82.7205304011402,999,1
S06-A30,MB2 IO pool p4,Unknown,1,Cxcr4,Test,15.4171357701406,0.82027444109806,Pass,0.0137889310993103,77.4729025371791,999,1
S06-A31,MB2 IO pool p4,Unknown,1,Hand2,Test,20.5440441711293,0.897581956057905,Pass,0.0137889310993103,79.8718899240863,999,1
S06-A32,MB2 IO pool p4,Unknown,1,Runx1,Test,18.322416682181,0.779986379918377,Pass,0.0137889310993103,82.7570974705784,999,1
S06-A33,MB2 IO pool p4,Unknown,1,Krt10,Test,13.6789377755459,0.951294024369991,Pass,0.0137889310993103,77.9874371902305,999,1
S06-A34,MB2 IO pool p4,Unknown,1,Foxd3,Test,18.0434548406262,0.716710326349179,Pass,0.0137889310993103,79.9965197666158,999,1
S06-A35,MB2 IO pool p4,Unknown,1,Gad1,Test,18.9006971031595,0.848964928672288,Pass,0.0137889310993103,87.569872857883,999,1
S06-A36,MB2 IO pool p4,Unknown,1,Actb,Test,9.86146673746562,0.843268980521238,Pass,0.0137889310993103,82.501220436958,999,1
S06-A37,MB2 IO pool p4,Unknown,1,Klf2,Test,21.8528630432861,0.787284658398414,Pass,0.0137889310993103,84.7456557613921,999,1
S06-A38,MB2 IO pool p4,Unknown,1,Mixl1,Test,25.1590956067288,0.74951509236508,Pass,0.0137889310993103,75.6048980914173,999,1
S06-A39,MB2 IO pool p4,Unknown,1,Tbx6,Test,20.5946082086286,0.861071620457611,Pass,0.0137889310993103,81.7474866858289,999,1
S06-A40,MB2 IO pool p4,Unknown,1,Shh,Test,13.919150311676,0.890400637370277,Pass,0.0137889310993103,83.8452639058172,999,1
S06-A41,MB2 IO pool p4,Unknown,1,Lgr5,Test,15.7645971154472,0.932667347641673,Pass,0.0137889310993103,80.3233405224105,999,1
S06-A42,MB2 IO pool p4,Unknown,1,Bmp4,Test,15.9534777467667,0.878629239723355,Pass,0.0137889310993103,79.6547784145712,999,1
S06-A43,MB2 IO pool p4,Unknown,1,Myh1,Test,24.7353471325804,0.894584028053985,Pass,0.0137889310993103,84.2904242863814,999,1
S06-A44,MB2 IO pool p4,Unknown,1,Myl3,Test,18.6270505160085,0,Flag,0.0137889310993103,999,999,0
S06-A45,MB2 IO pool p4,Unknown,1,Zic1,Test,22.323468158978,0.793675363364142,Pass,0.0137889310993103,88.020392481984,999,1
S06-A46,MB2 IO pool p4,Unknown,1,Pax6,Test,26.8523948597844,0.783826607347314,Pass,0.0137889310993103,74.9446542717429,999,1
S06-A47,MB2 IO pool p4,Unknown,1,L1cam,Test,23.5488787081029,0.804640791397424,Pass,0.0137889310993103,74.9129091500901,999,1
S06-A48,MB2 IO pool p4,Unknown,1,TBP,Test,15.8670382592549,1,Pass,0.0137889310993103,81.5960026780928,999,1
S06-A54,MB2 IO pool p4,Unknown,1,Col10a1,Test,36.8698146019175,0,Flag,0.0137889310993103,999,999,0
S06-A53,MB2 IO pool p4,Unknown,1,Dcn,Test,17.2355188002715,0.774163557602445,Pass,0.0137889310993103,81.952457766506,999,1
S06-A52,MB2 IO pool p4,Unknown,1,Hhex,Test,22.5959347454374,0.845924274439097,Pass,0.0137889310993103,79.3386231152365,999,1
S06-A51,MB2 IO pool p4,Unknown,1,Foxa2,Test,17.454197193276,0.864764100016383,Pass,0.0137889310993103,85.5226967918071,999,1
S06-A50,MB2 IO pool p4,Unknown,1,Wnt3a,Test,18.9266509855048,0.884929756373452,Pass,0.0137889310993103,77.5182863200375,999,1
S06-A49,MB2 IO pool p4,Unknown,1,Klf4,Test,18.0708892235511,0.740984752154806,Pass,0.0137889310993103,83.177476838647,999,1
S06-A60,MB2 IO pool p4,Unknown,1,Gusb,Test,14.5045911982326,0.942281666345636,Pass,0.0137889310993103,79.9327025575232,999,1
S06-A59,MB2 IO pool p4,Unknown,1,Sox1,Test,21.3590002313468,0.805388490117346,Pass,0.0137889310993103,80.7352641863269,999,1
S06-A58,MB2 IO pool p4,Unknown,1,Vim,Test,13.1425030038644,0.742894069905621,Pass,0.0137889310993103,81.5134063734637,999,1
S06-A57,MB2 IO pool p4,Unknown,1,Fabp7,Test,21.8560108503344,0.894357950644517,Pass,0.0137889310993103,78.0235390060885,999,1
S06-A56,MB2 IO pool p4,Unknown,1,Myh7,Test,18.3206559961422,0.811209918166444,Pass,0.0137889310993103,85.6980375833498,999,1
S06-A55,MB2 IO pool p4,Unknown,1,Igf2,Test,15.4798539930771,0.760981902885046,Pass,0.0137889310993103,77.6564795874883,999,1
S06-A66,MB2 IO pool p4,Unknown,1,Ctsk,Test,18.8491795365362,0.908341767322411,Pass,0.0137889310993103,79.2322462089093,999,1
S06-A65,MB2 IO pool p4,Unknown,1,Apoh,Test,21.7068793243645,0.840492086944154,Pass,0.0137889310993103,82.8295775466767,999,1
S06-A64,MB2 IO pool p4,Unknown,1,Ins,Test,23.1338992450593,0,Flag,0.0137889310993103,999,999,0
S06-A63,MB2 IO pool p4,Unknown,1,Sox17,Test,15.0446938389702,0.675746568837817,Pass,0.0137889310993103,79.1433576506318,999,1
S06-A62,MB2 IO pool p4,Unknown,1,Nodal,Test,19.0649188596983,0.898755486276204,Pass,0.0137889310993103,73.5732046419771,999,1
S06-A61,MB2 IO pool p4,Unknown,1,Nanog,Test,18.1554764182266,0.95375769216021,Pass,0.0137889310993103,78.6437103477596,999,1
S06-A72,MB2 IO pool p4,Unknown,1,B2m,Test,12.2852501545616,0.883965124647344,Pass,0.0137889310993103,80.8553569060695,999,1
S06-A71,MB2 IO pool p4,Unknown,1,Otx2,Test,15.5243833747583,0.796613844932791,Pass,0.0137889310993103,81.0012191377272,999,1
