uniprot_acc	1_SET1	2_SET1	3_SET1	4_SET1	5_SET1	6_SET1	7_SET1	8_SET1	9_SET1	10_SET1	11_SET1	12_SET1	13_SET1	14_SET1	15_SET1	16_SET1	1_SET2	2_SET2	3_SET2	4_SET2	5_SET2	6_SET2	7_SET2	8_SET2	9_SET2	10_SET2	11_SET2	12_SET2	13_SET2	14_SET2	15_SET2	16_SET2	1_SET3	2_SET3	3_SET3	4_SET3	5_SET3	6_SET3	7_SET3	8_SET3	9_SET3	10_SET3	11_SET3	12_SET3	13_SET3	14_SET3	15_SET3	16_SET3
Q53H12	545290	617470	650210	765410	531700	545560	583800	515500	564020	703860	619550	753250	553540	634490	657090	693130	490840	404950	297140	316700	233170	523780	394680	411950	369840	397700	384370	346470	404360	161600	326960	428730	543290	586470	617680	465880	455880	283820	586690	418170	417860	565790	481890	507060	546580	415160	375250	619070
Q53H80	71867	75178	79461	99497	67678	87621	84512	85542	106740	81613	111290	80871	89679	79305	96189	80808	14673	12074	11094	13897	9875.8	13979	13001	13326	17411	11135	16331	13825	11700	8225.1	8210.1	15596	7073.1	6960.1	7905.1	7169.4	7830.2	5515.7	7985.7	5725.9	6557.2	8262.3	7376.2	7168.8	9002.3	7367.2	9641.6	8007.9
Q53H82	22433	32691	28523	35816	28111	27298	30742	32663	28463	20908	22193	34204	37683	31725	38836	31438	105200	86909	83628	50010	32296	104000	60208	54933	74257	110340	82888	64243	67058	38621	94846	93007	22608	18429	19121	22834	27607	23078	22313	27169	27807	21329	22427	25224	24453	25565	21633	22949
Q53HL2	667250	730440	664220	625500	703710	719900	674800	695140	710380	661570	792110	741580	720160	671700	542690	682250	787180	629630	553170	715480	391690	690480	763510	729210	784740	520480	760440	734970	497780	401910	310300	755060	819770	632880	663920	684300	657070	553420	669610	737510	601550	654430	555650	542820	753040	508840	582200	807800
Q53LP3	46951	50655	42032	41359	46279	46301	41708	48068	47022	45840	52255	45477	46001	38969	41518	46005	113100	95348	88410	98392	76871	105830	89766	101400	96269	85795	102180	112570	92254	94583	73501	118730	70289	67119	62399	70048	68832	51959	62012	69341	65080	74304	70592	73359	63340	62295	59046	78784
Q53R41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10122	13406	13954	11775	9572.5	7777.8	13824	8803.1	9310.2	12004	8610.2	9236.7	11085	10121	7160.3	11695
Q53S33	160410	125590	121590	94264	92131	90666	109540	105080	113370	151550	156760	115540	93200	111090	131630	123090	124760	120780	141410	125710	104160	100320	126870	111750	131340	118090	133020	133860	102610	176070	86513	139820	80769	58525	55313	61345	56951	45301	59446	62490	71305	136100	86545	99296	67701	63989	86937	98869
Q53S58	56361	64527	73719	93483	73334	60235	67600	63171	76306	81571	77717	93120	75359	68412	74140	74739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q53T59	128880	153450	100810	138590	129960	174830	141430	162190	111780	130030	107930	109720	127640	145680	125560	132750	241440	138540	170600	184520	174530	252880	197860	207040	146110	216290	161260	190010	222320	231890	208910	229560	183790	150820	157730	195020	195220	169060	223130	207580	230220	215140	251130	242740	227000	225400	299000	244440
Q53TQ3	13187	13644	14479	15131	14147	15525	14179	15672	16458	15649	18384	16449	13949	13494	13665	13747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55033	43298	41639	53196	51082	42568	45766	55473	56380	61636	46790	53857	51480	54513	56741	59361
Q562F6	249990	248760	245960	214990	192510	196710	198450	208270	227170	208540	290840	205550	205810	201930	196620	200420	30740	27433	24022	39287	35409	28709	32802	28212	31719	19215	33864	32275	22622	25227	17200	33678	154260	118610	124610	146700	129670	105000	126540	133040	116470	134680	128650	115940	132310	110090	103000	152510
Q562R1	31538	35359	36070	90515	86381	53312	96091	86746	83740	77555	90525	89842	82187	42446	38805	37061	13053	9112.5	10396	15516	6916.1	14051	18083	16245	20285	13616	18055	19313	15980	7619.2	10683	28114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q567V2	27386	36003	57881	58941	26011	22243	29383	28797	37125	50151	44288	47442	40141	44674	64740	48700	31810	40141	21319	16846	12478	42638	23685	27497	24458	14960	26207	17419	17851	6329.4	10729	26080	114900	157130	140790	103060	108940	110900	110310	90371	53165	96125	54546	54753	86082	60674	65473	95647
Q56A73	66220	54832	60385	73715	40749	50976	42988	40484	69048	60620	65031	49923	56800	87717	71880	63024	18771	18383	13530	22661	13797	17236	19686	19087	22248	20411	23708	22947	23109	16817	20314	20614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q56P03	21087	29379	26133	29087	21572	22801	25824	24789	25905	25293	31322	27607	24195	25643	25470	28281	25243	22583	19227	23779	16746	22491	22183	22837	21717	19009	26076	24779	20857	13222	14688	26486	17062	16914	14700	18559	18305	13196	15374	18968	15532	19108	16854	16004	19942	15558	15665	18917
Q56VL3	232550	225040	243530	182360	134250	150650	125480	152810	159470	168780	187300	165320	157730	155270	190000	214170	754490	686210	375870	283640	202190	853270	362260	388290	360720	374870	558610	337740	382490	128890	280270	516070	411700	615180	546490	350360	325080	219420	399710	302380	232260	367180	275940	295170	337360	254400	237260	444290
Q587I9	166740	192260	206900	183750	137120	153830	251070	167830	207000	177980	207760	212930	153240	211510	172280	194400	324440	235670	187100	229380	153140	246290	330070	242540	279370	221190	289160	259390	216270	163880	173440	289460	167350	153310	166460	160630	143120	128050	180970	158870	160030	160720	163570	150350	161180	156770	142010	184310
Q58FF3	42868	58611	57455	126100	118420	74757	136450	119800	110360	116520	130300	186940	140920	50084	99564	66027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q58FF6	242590	334680	304360	166700	409740	343690	129490	379460	334790	160250	251980	573310	727000	169460	549920	230450	68068	123310	27951	155390	619750	79570	89102	256650	136250	41874	72091	87598	217000	43892	79871	113110	80556	69636	25040	127970	104290	208420	70895	64680	64056	50861	36175	38241	43032	84224	53726	55462
Q58FF8	1634100	1579800	1376700	1590500	1531100	1527100	1196400	1635200	1474000	1344500	1515500	1426500	1777700	1366500	1216700	1392400	1299500	1142600	2010500	1549200	819090	1456200	1137900	1476600	1243500	1335500	1461500	1542700	1198600	1363300	770520	1463600	1228800	1161500	1203800	1546000	1499800	1140600	1077400	1516500	1105600	1719100	1357900	1499400	1516500	1115800	1277700	1417800
Q5BJF2	19064	27596	29869	35292	45755	37631	38752	39817	45684	28930	45045	64446	46133	30197	51267	39173	116290	115210	20675	35602	38721	38649	56661	70150	33787	16918	35555	43213	65845	27800	20517	41538	28150	29052	15875	48253	41927	63493	34484	38261	30884	18003	14793	15519	24716	32217	16900	27356
Q5BJF6	13602	15059	14140	16315	12931	16577	16482	14884	13466	12644	15353	17445	14124	18583	11350	13546	24172	19871	19714	19260	15659	22798	22223	20270	21882	20311	21543	22208	20502	14088	14741	24052	54173	41752	50303	48935	54809	35953	68300	49351	64168	65678	85647	65788	68056	57668	53680	72218
Q5BJH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2494.5	2337.2	2704.4	2160.8	2532.3	2180.4	2740.4	2583.9	2937.9	2589.8	2259.2	2156.9	2647.8	2597.4	2376.3	2196.4
Q5BKU9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
