uniprot_acc	1_SET1	2_SET1	3_SET1	4_SET1	5_SET1	6_SET1	7_SET1	8_SET1	9_SET1	10_SET1	11_SET1	12_SET1	13_SET1	14_SET1	15_SET1	16_SET1	1_SET2	2_SET2	3_SET2	4_SET2	5_SET2	6_SET2	7_SET2	8_SET2	9_SET2	10_SET2	11_SET2	12_SET2	13_SET2	14_SET2	15_SET2	16_SET2	1_SET3	2_SET3	3_SET3	4_SET3	5_SET3	6_SET3	7_SET3	8_SET3	9_SET3	10_SET3	11_SET3	12_SET3	13_SET3	14_SET3	15_SET3	16_SET3
O94921:Q96Q40:P06493	826720	960590	815420	954210	843960	843110	729690	844220	812090	811030	747290	728620	912250	945710	740880	879980	866110	647050	535420	624480	375550	837230	650780	806390	678980	591120	599830	623580	660680	340150	379830	713720	754410	769360	837800	815170	887980	614410	820350	847130	716330	779280	808240	774730	904020	651970	684940	979000
P35237	387090	480000	347030	447170	353220	335560	351420	383890	474730	308160	290710	353190	444890	488510	696360	391800	325960	357430	268890	340990	209380	388410	329890	381410	451100	271640	311250	384730	441680	280030	471760	390150	189970	225020	207550	225370	204400	118040	204360	187390	275420	195480	194650	242270	205630	278020	288580	253060
Q00341	3162100	3373000	3071400	3234300	2965600	3044300	3001200	3159000	3696700	3143600	3377200	2648800	3418800	3394600	3407800	3186500	4062800	3637600	3497100	3651400	2071500	3689600	3131400	3201300	3826900	3213300	3837300	3463300	3055500	2787800	2427400	3934900	2840800	3032800	2925100	3259700	3116700	2306300	2862700	3169800	2818600	3482200	2844300	2981100	3461300	2805800	3532800	3879300
Q9BXJ8	35476	35712	28937	38780	21824	30008	24047	22779	24811	40363	35213	29855	23511	38224	20971	33732	99880	84386	93754	61896	41361	112850	72582	77227	73095	122870	107500	89730	88242	42637	94854	110200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P01009	23343	48637	11902	18388	94068	27232	55381	474390	26925	3106	10225	15238	16300	8599.4	11112	18905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P60002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28364	22573	34186	22566	15391	31153	19953	16226	25453	27675	37579	23653	15270	19157	20365	29280	58409	88087	111080	68800	58004	39400	81368	54438	51504	104580	78597	81707	89057	45785	65653	134590
A0A024RA28	11438	13793	9673.9	11113	18569	11329	14258	16366	9182.3	12918	18036	21025	16151	7964.5	12002	8291.4	16007	8298.6	6606.8	14657	8494	13483	17428	16587	15153	8212.8	17272	19301	17897	25248	14326	18929	14120	9721.5	8202.2	13387	14128	12896	11624	17825	20276	11393	11449	12520	14984	14988	16151	18623
P25787:A0A7I2V2H3	2404600	2135300	1754900	1527600	1752700	1999400	1448600	1805300	1813600	1705000	1678200	1527700	1901000	1952000	1769200	1902200	1352200	1188000	1261400	1297900	712340	1410700	1155800	1300500	1278600	1277900	1277100	1408600	1305400	1308100	1109200	1434900	1880200	1638300	1602200	2086500	1956500	1455900	1923800	1988500	1918800	2225000	1938300	2153600	2076000	2204600	2584300	2203400
Q14241:G3V115	528320	546550	568970	499620	459940	537320	486300	506700	599790	546080	623060	524980	518710	570010	559890	537780	619540	603570	612160	724420	460820	564180	580640	574040	706040	545370	709270	678120	585400	600150	429790	715770	535990	503440	487240	586610	547210	480040	521740	564800	568430	724610	607060	607040	610020	551100	610490	672090
Q29983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9UMR5:A0A0G2JLA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61506	66890	62769	83448	74968	60473	93371	79890	68224	68215	61157	58167	76985	63208	63175	75570
P46379:O95164	1249400	1311500	1169400	1256400	1119700	1395500	1146800	1245000	1340300	1201100	1268200	1065500	1286000	1408200	1237800	1262400	1109100	961740	911510	950200	666130	1097700	887030	925330	1031300	914030	1067000	999380	999010	1096600	748780	1089900	1577300	1519200	1527900	1789100	1721900	1399400	1653700	1717900	1691300	1817900	1588500	1693500	1995700	1815700	1964500	2000400
Q14135	183270	172620	158190	113530	92994	112020	103350	106330	118670	140600	150290	101030	96434	129890	113610	138940	90086	64802	81326	120660	103360	71292	86255	91839	100180	47062	79691	82505	68358	67284	39275	103330	45809	36159	32982	22974	22880	15322	27908	20336	20534	43485	38542	30994	35577	20161	31767	42625
Q8TCT9	23795	38829	71091	87857	78902	46476	80456	66934	73249	38640	78944	91739	55657	48225	115690	53150	80585	52923	24113	17056	16781	55862	43163	37934	32834	20278	31142	22263	35906	7835.8	25904	33152	37775	36905	30974	43591	61496	61926	46247	50725	55536	28361	21188	24529	25134	50136	26778	39772
Q9Y314	549190	528790	610610	491880	352070	533080	582660	485580	658110	564720	688940	418590	495360	539440	575710	528850	261990	256400	282710	256560	144880	255700	244960	191120	282160	182070	320970	260450	167670	229880	126420	310520	406620	497180	498030	476630	446090	366850	508210	457460	368760	514970	341720	367510	444960	352010	420370	575550
P11532	9004.6	11043	12470	8239.5	13590	17411	12009	18469	14588	8460.7	10047	11350	15745	7501.6	13459	11596	187760	142390	69970	159550	121260	121600	190120	182030	132630	115200	142560	166640	182430	92191	132810	158670	87701	65267	53998	92391	94861	78414	100090	97470	102970	92263	123030	94207	92609	97192	116710	97395
Q7Z7B0	12370	11247	5587.9	7378.9	9657	17734	11084	12087	6994.2	7095.4	3820.2	18830	12537	18307	12213	11955	1733	1134.9	945.06	1399	1246	1695.8	2192.6	1725.1	1645.1	4055	1294.1	2505.1	2889.4	3371.8	2966.8	2020.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A0A075B6S5:A0A0C4DH69:A0A0C4DH67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3191.1	3441.8	2781.9	2967.5	1852.8	3164.2	3078.8	3058.8	3673.2	3737.4	4047.9	4528.7	3954.4	4089.8	2958.5	3931.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9C0C7	5389.2	5088.2	5707.9	3300.8	4178.7	4974.8	4683.9	5595.1	4621.5	4306.8	6877.6	4590	3709.8	4870.1	4024	5648.4	24248	23057	24700	28412	14437	26111	22813	23451	24858	21026	27314	26935	21022	16672	17352	28200	41501	46644	48762	46446	42488	32407	41257	40205	35940	49135	43538	39805	48279	40128	42044	51187
P13928:A0A075B752	25783	27644	40280	37577	11751	18189	25425	13516	24527	33739	25596	13836	12544	43039	20924	27901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17183	26097	44370	11427	13251	4814.5	22297	8492.7	12903	32990	30877	32967	32327	12014	10016	35688
Q8IYB9:D6RIY0:D6RGC2:Q8TB69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25250	14470	24212	23681	5416.5	29936	16710	23002	26570	19938	24639	27674	20884	13237	21091	24828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9HB09	33201	33402	35915	28493	21868	27229	31442	25631	46268	45147	52724	47207	30466	43742	47972	32947	32110	38839	27102	33345	22414	32985	31274	32806	47485	25714	45641	42312	22086	32602	9715.7	36508	59929	65913	61104	55707	50084	40847	49553	51318	43416	83436	39298	46601	72092	48251	58732	67391
Q16881:Q9NNW7	1315400	1389700	1340200	1391300	918870	1093200	1263400	1078100	1337700	1601700	1346400	1132700	1158300	1727900	1335600	1439100	1020000	654960	791410	729760	411210	974980	897700	839640	845640	938410	838070	844420	854960	270650	713490	976330	596660	632150	666920	627310	624220	470070	787020	587130	636180	736040	650110	749530	771160	668060	567650	782130
P36969	478450	506720	379270	430080	270200	339370	322500	296630	389260	484400	311350	283720	345290	572100	349720	436060	497310	376690	447900	237000	152610	562980	298570	283810	343110	524620	383290	336890	333570	185380	437200	469180	529880	526450	609280	460600	468750	287680	636400	391360	521650	655180	598760	704400	671090	549100	512330	688780
Q9NV06	312300	359690	390480	432790	207570	268900	261450	263720	322620	395580	352240	292320	273380	392660	322200	381060	252080	229100	185360	214310	138880	265210	234870	231100	249820	206030	264480	218040	211220	101630	167620	255470	383830	380460	377650	381260	377480	309980	368390	363940	328210	367480	317750	343010	391330	336930	278510	404530
Q9BXF3	866170	915750	871430	895870	789920	896140	830710	876300	871990	850950	1024900	1135400	938620	850080	819510	895600	1216900	1146600	1053300	1140500	781500	1151500	1180400	1198300	1158400	1294800	1381900	1461300	1383500	992180	1229200	1424300	969190	842550	920300	828640	836650	582330	901820	868540	900210	1098400	1157000	1200200	1143700	867740	867310	1267400
P04637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13565	17506	5897.5	10969	12082	13097	12953	10169	16193	11013	8625.1	9005.4	11698	6182.4	7746.1	12262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00124	4280.2	4422.4	4313.5	4058.4	3112.5	3421.8	3403	2650.2	4326.1	4323.5	5238.1	4612.6	3601	3813.3	4217.8	3884.1	18225	18402	14937	20427	11339	19300	20178	21498	21372	12500	21162	16793	17033	12606	8235.2	17898	11686	9263.5	7307.7	13989	11240	12261	9369.8	12418	10787	9359	7191.7	7558.5	8604.5	11977	9600	13135
Q8N5I9	225720	229020	252940	139660	176080	209190	163500	212540	188820	167610	181910	163550	178630	143610	213510	198660	225770	192570	198840	322000	295430	170120	164860	255040	209880	96486	172600	179080	178440	230920	90407	237020	312460	216900	190990	268360	284450	224210	204150	304080	262930	294010	234590	267580	259060	229310	270760	283610
O14628	123180	123310	123010	130030	85588	106110	107940	93286	113880	108740	104220	99098	115960	110260	129810	116190	65482	63156	65889	55441	32227	71360	52351	54365	62046	56334	63988	60376	54220	44348	46905	69404	4602.1	3858.4	3492.9	4325.6	4862.7	4797.9	4304	5585.1	5017.8	3342.6	3236.1	3471.4	3939.5	4483.6	3556.9	3662.3
P43003	1221.4	1754	1726.1	1593.4	960.86	1751.6	1724.8	1086.4	1714.1	1360.5	2022.8	2330	948.55	1271.9	709.65	1264.1	34334	23039	22471	19199	15052	33647	36952	27272	30315	17973	41691	28627	13933	10599	8278.4	29101	15885	10851	14756	14987	20616	9012.7	20449	12870	11556	15814	9878.2	11109	11801	10421	9752.7	15118
A0A087WT96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9H0W9	47799	58791	49917	110910	88783	97857	83284	92447	83261	64129	77029	102260	115510	78344	80306	78378	68318	57255	28188	64759	56542	110540	73905	105160	71671	87362	89119	86693	128780	35158	69711	79702	15429	14553	14234	31769	32351	22854	27276	28302	25392	19916	25081	27140	30166	25737	17784	22801
A0A087WTA5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24265	26981	20612	17206	23244	24159	19049	20560	20162	21104	26174	22409	19763	26018	19586	25301	37912	38171	35814	40448	38923	24984	40706	37166	42392	48373	52843	45544	39584	35928	45095	52828
P08123	52930	55718	48265	47157	51914	84369	91528	73414	122840	46723	56350	63607	89319	61738	56087	70408	79630	76562	88965	112770	60613	68946	99451	63597	131480	152170	275570	225220	105050	374710	98347	111460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q6IPU0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q2M2Z5	58701	63743	64756	70862	92052	93483	51403	98554	71698	59458	67855	55736	61913	48822	47447	56955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q12913	38055	38260	32099	31392	33259	32942	31798	34093	34391	33173	35658	40772	31100	31077	28715	31563	39918	27961	23680	33459	47661	33302	36900	42234	37326	34474	36497	40455	35374	30371	21963	39466	24855	19297	16822	17759	21433	13190	21805	21571	19232	22858	27431	25697	22978	16980	13336	21979
Q9Y6N7:F8WBR3	84712	92634	75017	65098	65222	74092	109290	77265	71096	90240	102030	74056	80639	59584	65238	76948	146740	124070	128680	136340	141210	158180	181550	159400	147950	139760	171720	165950	127220	114800	106040	167590	135240	113650	113900	128970	136390	119150	162610	152380	151820	140990	138600	133260	119400	128010	115230	133110
Q969K3	41449	51845	49612	50912	33251	51813	40488	43130	50846	53853	63889	44031	42334	58167	51119	48349	29399	25542	25716	24575	24234	31563	19966	20194	22505	25230	37966	27534	20871	29158	20846	30515	32221	38320	37007	34424	29790	19644	32903	25606	27821	43693	34427	36060	40357	32661	40090	46605
Q6UB99	2371.7	1960.8	2487.8	2133.7	1606	1519.8	1766.4	1779.3	2167.8	1856.3	2246.1	1857.3	2076.7	1741.6	2171.2	1598.2	9742.5	8924.9	4930.1	9823.7	8935.5	3913.6	7755.9	7979.3	4116.9	3712.2	6349.9	6328.1	7852	10060	5559.8	7915.2	17861	11602	7435.9	13559	12058	11028	13819	11847	11127	12702	12727	9344.7	13977	12874	12174	10299
Q15345	67818	84547	82493	87326	80518	107770	91954	100330	94944	93637	90578	96666	85462	91198	81375	90280	225030	187580	185800	236820	210410	201500	225540	193660	174580	167980	219790	247730	180150	297270	163960	254890	21469	22209	21321	27573	28085	21145	25144	26496	21453	32781	31829	23422	27682	30021	32213	26471
Q8TCU4	169380	172380	173660	167440	150940	175950	143660	177900	157090	189170	188850	166510	171850	156860	140950	164870	123290	116300	132740	159650	127750	138900	120400	134890	135510	115660	148320	154360	124930	134780	87264	157000	161930	135010	133670	159020	164460	123020	136980	154500	154880	219020	190110	175810	169130	152350	157360	184470
Q9UKL3	19319	18407	18117	17666	14759	16664	21359	19364	16941	17782	21401	16800	15390	19300	14328	17490	5180.6	3462.4	4580.6	5402.1	3956.2	5824.7	7038.6	4807.4	4278.5	5366.1	4137.9	6941.6	4987.1	6832.1	3982.8	5806.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9H6U8:A0A087WZ62	73555	83245	84105	75331	64478	75462	87787	76704	82882	108140	109960	104340	73129	89091	80143	92657	141770	95473	157190	139910	75040	125340	152560	132880	133080	182420	162520	185430	113000	172140	111490	168870	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q5TGZ0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P21926	331160	452750	419160	421430	271360	349010	373640	338400	294470	319490	456650	352470	243440	241370	540070	379530	400480	281400	140790	167310	85424	310880	268360	199600	161750	96341	307190	229290	102490	82765	397540	267130	293130	315740	286800	140550	136860	80683	270270	158370	149640	450500	136430	212800	155300	107930	231830	319530
P51790	7159.9	5352.1	5922.5	3199.2	3724.4	3658.6	4387.2	4005.2	3012.1	8213.7	4665.3	1433.4	2939.3	5763.3	2437	7101.9	28982	27277	13830	22939	15962	33595	29092	30785	28880	29813	27406	27295	33262	10369	28839	27201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9H0U3	92753	126980	142780	158390	91160	130240	125340	106220	133180	123980	147800	149960	110820	136230	133970	140740	30877	32295	17922	18410	13753	32926	26427	27648	28539	25286	30672	26705	28786	7147.7	20685	27217	19502	28191	32162	21901	21453	13498	24034	21297	18699	25290	24938	22581	26954	19364	16119	30835
Q9NRW7	17349	26418	24191	37649	22282	20389	23565	21610	23967	27820	28821	33051	25497	27849	31776	30125	226590	204190	152040	174020	106490	251090	206740	230530	191390	216180	218070	205400	265550	103560	207360	232780	138590	161560	161170	136480	133620	120760	175220	106520	118490	143080	133880	126200	149620	140950	108900	138670
Q70SY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q8WYA6	430350	557900	577000	543400	493260	539470	524690	503390	556730	550170	628720	594290	582440	557840	547980	557330	797060	732730	422740	570140	368910	744680	641330	680760	674780	616600	732170	661970	678830	294960	503010	687160	429660	489530	524060	491520	457620	360150	496250	445250	465380	439470	459780	438400	503940	442330	385520	560590
Q15005	302620	239090	224120	167420	203970	245940	174300	179550	224550	206210	251500	277320	241680	222590	211750	250550	98934	74153	53516	69099	36472	89635	99836	100830	88333	69098	82499	77979	85803	24681	57437	88093	536630	425040	416080	409160	442900	357830	456170	455670	370440	471190	368560	407420	447540	370560	279940	470000
Q9NRP0	76711	90113	97683	119790	42921	77346	83866	61271	83217	111620	117100	103750	72448	127830	124300	113700	151050	123420	93572	52188	32580	174010	84732	67506	84510	133920	127220	89968	91450	41061	112740	122290	93143	109080	92439	60928	65895	44405	86790	59954	48883	83243	65930	71162	74724	73059	50363	85730
Q3T8J9	117530	137090	156490	156780	117940	131960	122970	126450	145020	138350	160880	152130	150610	159950	148260	158230	138020	146560	100930	122550	80179	150130	122420	141820	132440	120260	149800	140260	129960	68897	106460	147010	124360	135170	129490	156020	148640	129470	133840	149990	139210	164170	152770	143830	158390	135710	150650	172550
Q8WXW3	135500	189240	181960	187450	191270	219100	165470	212040	176280	168650	196700	186780	197880	159530	144140	170270	63268	49666	32788	48707	34264	60511	46964	63045	46703	41857	51396	49159	43001	31170	25857	54025	95862	99723	105200	117670	116370	91305	107310	132900	93934	106300	96779	86344	121280	101570	113460	125430
O14979	2312500	2240300	2181900	2326300	1395500	2212100	2157500	2023300	2170400	2611400	2679200	2177300	1743200	2329400	2067700	2346300	1852700	1732400	1990800	1429200	761500	1600300	1476900	1152000	1481700	1503700	1755200	1510100	1085800	3916500	965070	1833400	1544100	1496600	1418500	1320200	1235200	870130	1491800	1197700	1097800	2130500	1526900	1498700	1570000	1167900	1632000	2014700
P13056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50881	41906	43220	40211	24899	50399	42792	36303	39400	45158	62593	59841	42127	66203	35610	54950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q86TG7	147280	207010	190550	230450	210840	240340	289280	244650	303670	178430	205910	191420	290930	280820	277220	216640	220900	206670	126010	191580	164590	243620	278590	234230	273120	166880	209230	201510	272940	145610	222270	235730	224240	267980	251550	317370	308460	262940	412410	314530	336370	263740	345510	250280	389940	345430	446710	352730
A0A087WUM2	34608	42831	51738	93517	27676	18025	29149	31084	31656	36398	26364	28123	30352	47842	45208	53980	36576	36574	21582	13823	14220	39107	20491	19530	18293	23000	19224	14271	26803	5181.7	42481	27346	322230	495000	453030	305110	337620	229260	412020	269440	298530	302020	327120	282680	300210	331440	166180	396810
Q8N3Z3	41368	44596	43374	37414	29238	29735	44191	35370	45056	52867	55734	56876	36757	45185	41715	44213	91417	88414	67798	68594	43222	77329	101900	71122	98880	77940	111900	102080	69117	54333	40214	91357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O60841	2439900	3039800	2979900	3174100	2829100	2902600	2827600	3227600	3295700	3033800	3122600	2704800	3223900	2915400	3102900	2922900	3348600	2901700	2144200	2864400	2144600	3131600	2635300	2847600	2858200	2458800	2934000	2830500	2893100	1674100	2075900	3150600	2529500	2962800	3000800	3030100	2870200	2147200	2728700	2856500	3189400	2964200	2897800	2976200	3072600	2942800	2959800	3432700
Q6NUM6:A0A087WUV9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31506	29975	24134	28622	20993	33481	31897	34174	34770	31458	38721	31017	32452	14116	26174	36921	11615	12206	13165	16301	16560	18823	15185	18563	14939	15849	15023	12554	14551	12534	9501.1	15912
Q9Y6K9	103760	101440	93324	109980	93218	120550	93385	108130	98859	95458	94884	85358	101120	99315	98574	100700	57297	44082	37769	45663	36274	60829	36746	34226	44762	53039	60143	50930	39068	46004	43640	53081	119060	101330	106430	128000	126140	110420	113650	133110	137080	146770	146870	145840	143210	117730	137420	166270
Q9NXU5	62123	75141	72444	85978	74930	67804	86156	75070	71882	88330	90081	103490	81067	75055	69666	72783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q99417:A0A087WV05	470610	564210	553020	459010	564700	537950	552790	594470	577400	459820	602170	539140	494280	428240	518170	489820	824160	673550	604540	797110	542970	726310	797350	781450	899950	678930	803930	886220	665070	562470	612900	828390	281070	210130	248080	252640	243290	188570	266850	276890	339790	320840	337260	334220	259050	259220	287260	346690
Q8WWB7	11682	14653	15982	8357.4	10493	14903	12482	15243	14798	11444	14629	14949	13185	9082.7	13278	13526	14233	13489	8974.1	15830	12934	6387.8	14332	12119	8708.3	6981.8	11167	13823	14015	24819	9608.7	12100	19841	13380	9401.1	15277	16024	14764	16545	17146	16704	16763	14936	13713	19922	22217	28364	15302
A0A087WV57	12251	12628	14699	7111.1	9729.3	12725	10805	10916	11626	8880.9	11507	13706	11590	10200	10929	11356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18905	11530	9380.9	13251	14282	11282	11849	14531	13429	14113	14617	12915	14626	13645	13095	15378
A5PL33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5723.2	5954.4	5389	6101.5	5734.2	4599.5	4842.9	5305.2	4697.1	7408.5	6390.2	5290.7	6092.6	3447.3	4209.8	5836.5
Q9NZM3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28074	28170	20059	28928	23389	21585	25611	26278	24480	21930	23391	30718	33076	29550	22364	29774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q14517	130810	92209	111520	116170	96387	121950	99663	117760	100770	108330	145780	115190	127820	133060	96720	99738	210050	147190	171520	222240	117770	195780	208760	201970	184590	152940	218540	220680	160180	198750	113770	213660	26793	13261	18094	22138	23624	17676	19016	25881	18311	18286	20445	19568	27747	19802	28546	25657
P0C024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q00610:A0A087WXH4	4698100	6855900	7372400	10226000	4827100	5009500	6044500	5396200	6274300	7049300	6494900	6334300	6430200	8840100	8211100	8018300	9646600	8248300	5688800	5635700	3707800	11054000	6650200	7581300	6958300	7621000	7963600	6551300	8696700	2930100	7128700	8240100	7481300	9522300	9435400	8683200	8441900	6939300	9799600	7442400	6540600	8117300	6381900	6695400	9377400	7746100	5843100	8745600
Q70IA6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59479	49955	41362	46193	35547	57665	53416	53954	54469	50562	53599	55831	57409	28291	45435	59952	28033	34139	32882	33926	34271	25596	32867	31719	35563	34554	31788	35092	34902	37769	31917	35906
Q9UHV5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3253.5	2835.6	1871.7	2661.2	2732.5	2639.5	2541.4	3642.4	3262.8	1604.3	2699.8	3283.5	3200.3	3639.2	2011.3	2930.5	5462.7	4071.4	3918.6	3549	5008.4	4765.9	3880.2	4695	4073.5	2755.3	3397.5	3953.7	4820.7	3944.8	4064.2	4177.5
Q9UJW7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q9C0D9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Q5T5U3	51457	52175	48825	35439	40428	44789	52541	47876	43111	50306	55139	54996	44455	50737	34012	46553	19024	19178	14439	16489	9747.9	15714	14753	16172	17896	17012	19561	18390	15995	9077.8	13942	19720	37854	46948	44946	38186	35879	31993	49737	33391	35405	42576	42811	44463	46450	39704	36573	49452
P13591	96731	106580	107410	72098	95689	71207	99027	111450	48045	105220	125780	91476	66331	57959	60814	92812	117830	79287	75426	77670	50225	83146	71481	80765	58516	89186	107550	81042	67183	53116	46416	93564	33265	31299	38135	33550	28045	22311	27435	29797	21356	41757	57634	38590	36514	21061	25357	41641
Q8WWX9	84577	104480	83779	79858	90334	98446	80274	91641	95740	65666	78227	104090	107870	89693	102140	76054	12122	11239	10648	11476	10542	11502	12493	11629	12829	13390	11352	14267	11536	9302.2	15215	13745	8111	6672.3	7020.4	6574	6850.3	5241.4	7264.8	7726.5	9062	6222.9	8864.5	9731.4	7480.9	9226.3	9071	9773.7
Q8TE77	24584	29150	24001	25442	22991	24076	23463	26061	24566	24994	26035	24343	26821	31145	24732	27243	38293	29182	23769	33631	23036	47114	38063	45696	40500	42194	32392	41508	58210	22153	45753	42629	34547	32553	30628	36610	37984	26379	36643	35781	43840	32689	39221	41162	44067	44782	38030	39192
Q9NZM4	210430	217840	209600	141400	150730	144390	167850	189930	177640	178600	214090	170790	158480	165300	164060	170970	196680	182100	167090	196210	181060	155780	165780	176670	192490	132140	182420	174130	174760	167090	121410	217810	155530	142840	127920	146350	143150	127870	111710	155660	169060	160750	139760	136980	125550	144030	140550	161170
Q9P2T1:P36959	354940	348560	278320	253890	257160	261900	267340	266100	328970	311430	275450	214200	264900	405360	310640	304620	391810	340420	315590	294580	185210	395170	338530	272780	373290	344750	339470	323730	345830	269120	316240	415430	192920	176590	178190	188210	185570	138920	224960	191560	264130	225300	244080	245860	246180	292000	319780	254510
O43272	48997	54776	39542	88618	58418	110230	57305	67468	77334	84143	78739	115770	99357	178110	128300	101590	64096	53960	57819	71544	40400	88172	65494	67828	77966	141960	87339	101890	123540	57474	124700	95495	46500	47485	54047	60793	58001	51887	50337	62920	58762	64719	63410	61232	81709	75823	93338	72834
Q96T37	715960	729020	762960	692770	604850	666450	711760	666890	735300	762080	875260	784930	721630	795720	692700	760960	581550	558070	437710	566130	333950	505970	600870	541240	570930	487480	628570	592420	551090	455020	425030	630490	421650	369090	349090	415190	399540	333020	398180	390470	396060	399190	417510	379730	441680	413200	407770	448850
Q5VWQ0	58768	58649	53373	66329	56281	59965	57738	56484	50668	57536	63738	57290	54749	58170	49998	57545	30344	23209	27572	26905	18027	28769	26140	28027	27652	29057	29453	31424	29064	21619	23909	31334	99307	90977	92437	93117	100070	74037	98519	98373	103600	104450	125470	112500	112190	95500	100500	119700
Q96FV9	786780	854580	874540	723620	612050	733770	696960	712070	756750	755710	936350	745650	710940	811120	748030	794340	877380	847690	645440	685810	429750	817380	704640	719380	720950	701820	881230	777060	710960	476160	537640	836810	691820	771500	794110	754380	713790	521100	734810	691060	652380	728110	648190	653360	750140	660630	568130	829660
Q96JJ6	30349	36073	29854	18541	34507	24441	26890	29813	21460	26739	38136	37206	27587	15546	15243	29360	30703	18327	16882	14366	10446	21933	20588	21216	17264	18829	25747	22261	16526	7970.1	14698	22317	15485	14745	18323	10109	12368	16785	16593	17947	15216	13507	16590	18602	9576.4	12282	6245.2	17322
O75081:Q06455	25828	29171	25691	21036	17966	16961	16942	19704	22094	20284	22390	17721	18033	16667	17093	19675	14752	14862	15549	15723	7398	16229	12283	15280	15537	11491	15092	16130	12988	8119.4	10157	16258	7626.5	7767.7	8094.1	6901.7	6728.2	5178.1	6123.6	6424.4	6777.6	6440.2	7672.5	8045.6	7211.1	7718.9	6272.2	7964.6
