maxquant_row_id	num_gene_names	gene_names	uniprot_acc	is_unique	protein_ids
3430	5	RAB6C:RAB39A:RAB6A:RAB6D:RAB6B	Q9H0N0:Q14964:P20340:Q53S08:C9J0I2	Multimapped	P20340-2;P20340;P20340-4;Q53S08;P20340-3;F5H3K7;F5GX61;Q9H0N0;C9J0I2;C9JB90;Q14964
3431	1	PVALB	P20472	Unique	P20472;B8ZZ19;B1AH72;H0Y3U0
3432	1	MSH3	P20585	Unique	P20585;A0A590UKC9;A0A590UJW0;A0A590UJN8
3433	1	NPR2	P20594	Unique	P20594-2;P20594
3434	1	PSMB1	P20618	Unique	P20618
3435	1	M6PR	P20645	Unique	P20645;F5GX30;H0YGT2;F5GXE0;F5GXU0;F5H883;H0YF90;H0YGE9;H0YFY9;H0YFL0
3436	1	ATP4A	P20648	Unique	P20648
3437	1	COX5A	P20674	Unique	P20674;H3BNX8;H3BRM5;H3BV69;H3BRI0
3438	2	LMNB1:HMGCR	P20700:A0A7P0TBP1	Multimapped	P20700;E9PBF6;A0A0D9SFE5;A0A0D9SFY5;A0A7P0TBP1
3440	1	AGA	P20933	Unique	P20933;H0Y8L9;H0Y9C7
3441	1	PTMS	P20962	Unique	P20962;F5GXR3
3442	3	CDK11B:CDK11A:PTK6	P21127:Q9UQ88:Q13882	Multimapped	P21127;P21127-2;P21127-8;P21127-9;P21127-3;P21127-6;A0A0D9SER5;A0A0D9SEI3;A0A0D9SEN2;Q9UQ88-2;Q9UQ88;Q9UQ88-4;Q5QPR3;Q5QPR4;Q9UQ88-3;P21127-10;P21127-5;P21127-4;P21127-12;Q9UQ88-10;Q9UQ88-5;Q9UQ88-9;E7ESP2;J3KS35;Q9UQ88-8;A0A087X1I0;A0A087WYI9;E9PFJ2;Q13882;Q5QPQ9
3443	1	PTN	P21246	Unique	P21246;C9JR52
3444	2	ATP6V1B1:ATP6V1B2	P15313:P21281	Multimapped	P21281;H0YC04;C9JL73;P15313;E5RGH6;H0YAT8;C9JNS9;C9JZ02
3445	1	ATP6V1C1	P21283	Unique	P21283;E7EV59
3446	1	CSRP1	P21291	Unique	P21291;E9PS42;E9PP21;E9PND2;A0A087X134
3447	1	FLNA	P21333	Unique	P21333-2;P21333;Q60FE5;A0A7P0NMY4;F8WE98;A0A087WWY3;A0A7I2V3E6;H0Y5C6;H0Y5F3;H7C2E7;A0A669KBC6
3448	1	NF1	P21359	Unique	P21359-2;P21359-6;P21359;H0Y465;J3KSB5;P21359-4;P21359-3;P21359-5;J3QSG6
3449	1	MAOA	P21397	Unique	P21397-2;P21397
3450	2	PDE2A:ACO1	O00408:P21399	Multimapped	P21399;F5H2R8;F5H143;F5H3Z7;E9PEF1;O00408-5;O00408-4;O00408-3;O00408
3451	1	EPHA1	P21709	Unique	P21709;P21709-3;P21709-2
3452	1	VDAC1	P21796	Unique	P21796;C9JI87
3453	1	SDHB	P21912	Unique	P21912;A0A087WWT1;A0A087WXX8
3454	1	BCKDHB	P21953	Unique	P21953
3455	1	COMT	P21964	Unique	P21964-2;P21964;A0A7I2V370;E7EMS6;E7EUU8;A0A7I2V3G7;H7BZ45;F8WBW9
3456	1	MMUT	P22033	Unique	P22033
3457	1	OSBP	P22059	Unique	P22059;H0YCV6
3458	1	FBL	P22087	Unique	P22087;M0QXL5;M0R2Q4;M0R299;M0R0P1;M0R2U2;M0R1H0;M0R2B0;M0QXC9
3459	1	GART	P22102	Unique	P22102;P22102-2;F8WD69;C9JBJ1;C9JTV6;C9JZG2;C9JKQ7;A0A140TA71;H7C366
3460	1	CDH3	P22223	Unique	P22223;P22223-2;J3QR60;J3QL41
3462	1	SCP2	P22307	Unique	P22307-4;P22307-7;P22307-8;P22307;P22307-6;P22307-2;H0YF61;H0YD06;P22307-5;E9PLD1;P22307-3
3463	1	UBA1	P22314	Unique	P22314;Q5JRR6;Q5JRR9;Q5JRS0;Q5JRS2;Q5JRS1;Q5JRS3
3464	1	UBA1	P22314-2	Unique	P22314-2
3465	4	NME2:NME1-NME2:NME1:NME2P1	P22392:Q32Q12:E7ERL0:O60361	Multimapped	Q32Q12;P22392-2;J3KPD9;P22392;E7ERL0;O60361;F6XY72;E5RHP0;C9K028
3466	1	ENPP1	P22413	Unique	P22413;E9PE72
3467	2	FGFR4:FGFR3	P22455:F8W9L4	Multimapped	P22455;J3KPQ0;P22455-3;P22455-2;E7EWF4;H0Y9P2;I6LM06;P22607-4;F8W9L4
3468	1	H1-6	P22492	Unique	P22492
3469	1	FDXR	P22570	Unique	P22570-3;P22570;P22570-5;P22570-7;A0A0C4DFN8;A0A0A0MT64;J3QQX3;A0A0A0MTR6;A0A0A0MSZ4;P22570-2;P22570-4;A0A0C4DGN7;P22570-6;A0A0A0MTN9;J3QKZ8;J3QQW7;J3KS64
3470	1	HNRNPA2B1	P22626	Unique	P22626;P22626-2;A0A7I2V3P7;A0A7I2V323;A0A7I2V4N1;A0A7I2V3P1;A0A7I2V4I6;A0A7I2V4S4;A0A087WUI2;A0A7I2V4N0;A0A7I2YQN4
3471	1	RFX1	P22670	Unique	P22670
3473	1	IGFBP4	P22692	Unique	P22692-2;P22692
3474	1	UQCRC2	P22695	Unique	P22695;H3BRG4;H3BSJ9;H3BP04;H3BUE4;H3BUI9;A0A087WVZ4
3475	1	ITGA6	P23229	Unique	P23229-5;P23229-3;P23229;P23229-4;P23229-2;P23229-9;P23229-6;P23229-7;H7BZ97;C9JXX7
3476	1	SFPQ	P23246	Unique	P23246;P23246-2;H0Y9K7;H0Y9U2
3477	2	TUBG1:TUBG2	P23258:Q9NRH3	Multimapped	P23258;A0A7P0T9G6;Q9NRH3;K7EIS0;K7EKE5
3478	1	KEL	P23276	Unique	P23276
3479	1	ANOS1	P23352	Unique	P23352
3481	1	GLDC	P23378	Unique	P23378;A0A1W2PP74;A0A1W2PQV3;A0A1W2PPB1;A0A1W2PQU6;A0A1W2PPE1;A0A1W2PPK8;A0A1W2PPH6;A0A1W2PPG0
3482	1	WARS1	P23381	Unique	P23381;P23381-2;G3V3Y5;G3V3H8;G3V277;G3V456;G3V5U1;G3V227;G3V3P2;G3V423;G3V2Y7;H0YJP3;G3V3X0;G3V3S7;G3V5W1;G3V4N8;G3V4C7;G3V2C0;G3V339;G3V313;G3V4S4;G3V3R3;G3V2F2;G3V4N0;P78534;G3V4Q0;G3V4A3;G3V5H5
3483	1	RPS3	P23396	Unique	P23396;P23396-2;E9PL09;E9PPU1;F2Z2S8;H0YCJ7;E9PQ96;E9PJH4;H0YF32;E9PK82;H0YEU2;E9PQX2;E9PSF4;H0YES8
3484	2	GCSH:NA	P23434:A0A1W2PS29	Multimapped	P23434;A0A1W2PQV2;H3BUH9;H3BNV1;A0A1W2PRH4;A0A1W2PPE4;A0A1W2PNX3;A0A1W2PPQ1;A0A1W2PS29
3485	2	RPS6KB1:NA	P23443:K7ERJ3	Multimapped	P23443-4;P23443-3;P23443-5;P23443-2;P23443;K7ERJ3
3486	1	PTPRG	P23470	Unique	P23470-2;P23470
3488	1	NFYA	P23511	Unique	P23511-2;P23511
3489	1	AHCY	P23526	Unique	P23526;P23526-2
3491	1	CFL1	P23528	Unique	P23528;E9PK25;E9PP50;G3V1A4;E9PQB7;E9PS23;E9PLJ3
3493	1	F8A1	P23610	Unique	P23610
3494	1	ATP2B4	P23634	Unique	P23634-7;P23634-6;P23634-8;P23634;P23634-5;P23634-4;P23634-3;P23634-2;H0YDG5;H7BZS8;H7BY13
3495	1	DGKA	P23743	Unique	P23743;H0YJH4;G3V4E1
3496	1	CPT2	P23786	Unique	P23786;A0A1B0GTB8;A0A1B0GWC0;A0A1B0GVF3;A0A1B0GV75;A0A1B0GTM0;A0A1B0GUD9
3497	1	DTYMK	P23919	Unique	P23919;P23919-2;H7C312;H7BZ20;G5E9E9;H7C3A4
3498	1	RRM1	P23921	Unique	P23921;E9PL69;E9PP77;H0YCY7;E9PRY9;E9PJ62
3499	1	CHM	P24386	Unique	P24386
3500	1	EDNRB	P24530	Unique	P24530;P24530-3
3501	1	EEF1B2	P24534	Unique	P24534;C9JZW3;F2Z2G2;F8WF65;F8WFC9
